,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
23,Multiple Streams of Realtor Income - Real Estate Investing,https://www.udemy.com/course/realtors-and-real-estate-investing/?couponCode=MARCH13MULTIPLE,4.1,22,English,"1,5 total Stunden",Business,Immobilien,,2 days 06:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Lou Brown'}"
63,Employee Onboarding Masterclass,https://www.udemy.com/course/employee-onboarding-masterclass/?couponCode=MAR2020,3.9,20,English,1 total Stunde,Business,Personalwesen,,2 days 18:00:00.000000000,{'Talent Zoom'}
7,Outsource Mastery: How To Earn More Money By Doing Less Work,https://www.udemy.com/course/outsource-mastery/?couponCode=MARFREEOUTSOURCE,4.23529,38,English,"2,5 total Stunden",Business,Unternehmensgründung,,2 days 16:00:00.000000000,"{'Tim Godfrey', 'Online Marketing Classroom'}"
41,First Steps in Creating Events,https://www.udemy.com/course/creating-awesome-events/?couponCode=MAR2020,3.15,34,English,1 total Stunde,Business,Unternehmensgründung,,1 days 22:00:00.000000000,{'iMarketer School LONDON'}
74,Learn Illustrator CC: Create a Vector Knight,https://www.udemy.com/course/vector-knight/?couponCode=1242C800B381CA42BAB9,4.28571,80,English,1 total Stunde,Design,Grafikdesign,,1 days 14:00:00.000000000,{'Jonathan Lam'}
26,EFT Out Your Addiction to Junk Food and Sugar - BAM!!,https://www.udemy.com/course/eft-tapping-sugar-addiction/?couponCode=MARCH11EFTADDICTION,3.85,22,English,"2,5 total Stunden",Gesundheit & Fitness,Diäten,,0 days 05:00:00.000000000,"{'Scott Paton', 'Joan Kaylor', 'Scott Alex'}"
72,The Absolute Tools Guide to Cyber Security and Hacking,https://www.udemy.com/course/the-absolute-tools-guide-to-cyber-security-and-hacking/?couponCode=LEARN-TOOL-GET-A-JOB,3.69444,18,English,"16,5 total Stunden",IT & Software,Netzwerk & Sicherheit,,2 days 17:00:00.000000000,{'Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!'}
27,Podcasting Success Strategies: Get Podcast Sponsorships ,https://www.udemy.com/course/podcast-sponsorships/?couponCode=MARCH13PODCASTING,3.65,23,English,"2,5 total Stunden",Marketing,Content-Marketing,,2 days 06:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Martin Wales'}"
2,First Steps in Market Research,https://www.udemy.com/course/first-steps-in-market-research/?couponCode=MAR2020,3.9,34,English,"1,5 total Stunden",Marketing,Marketinggrundlagen,,2 days 14:00:00.000000000,{'iMarketer School LONDON'}
59,Millennial Instagram Marketing 2020 | Grow Organic Followers,https://www.udemy.com/course/2020-millennial-insta-marketing-grow-10k-organic-followers/?couponCode=HAPPYLEARNING,3.88384,102,English,1 total Stunde,Marketing,Social-Media-Marketing,,0 days 23:00:00.000000000,{'Skyler Chase'}
