,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
40,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=HOLI2020,4.28261,40,English,"4,5 total Stunden",Business,Daten & Analyse,,0 days 15:00:00.000000000,{'Start-Tech Academy'}
61,"Decision Trees, Random Forests, AdaBoost & XGBoost in R",https://www.udemy.com/course/machine-learning-advanced-decision-trees-in-r/?couponCode=HOLIHAI,4.2,20,English,6 total Stunden,Business,Daten & Analyse,,0 days 15:00:00.000000000,{'Start-Tech Academy'}
79,Excel Analytics: Linear Regression Analysis in MS Excel,https://www.udemy.com/course/predictive-regression-modelling-in-microsoft-excel/?couponCode=HOLI2020,4.61364,84,English,"2,5 total Stunden",Business,Daten & Analyse,,0 days 15:00:00.000000000,{'Start-Tech Academy'}
15,Trader – Take This Profession. From 0 To Professional,https://www.udemy.com/course/trader-profession/?couponCode=75B2FEF7DE1A1C02F7D6,3.25,26,English,34 Min. gesamt,Business,Finanzen,,2 days 22:00:00.000000000,{'Andrew Borysenko'}
43,Fiverr: How To Start Freelancing Career With Fiverr,https://www.udemy.com/course/fiverr-start-freelancing-become-a-top-rated-fiverr-seller-on-fiverr/?couponCode=856A2F9825775AC89B4C,4.04348,168,English,1 total Stunde,Business,Unternehmensgründung,,0 days 07:00:00.000000000,{'Liaqat Eagle'}
3,Adobe Dimension CC: Create Awesome 3D Models,https://www.udemy.com/course/adobe-dimension/?couponCode=EA21ECABF6A761D8FE9B,3.95,59,English,1 total Stunde,Design,3D & Animation,,0 days 14:00:00.000000000,{'Joseph adam'}
54,Home Workout | Fitness | Posture: The 21 Day Transformation,https://www.udemy.com/course/home-workout-fitness-posture-the-21-day-transformation/?couponCode=C6BD8D466DAC32F586F7,3.81818,17,English,"5,5 total Stunden",Gesundheit & Fitness,Fitness,,0 days 01:00:00.000000000,"{'Kevin Kockot, M.A.'}"
27,Agile Project Management 200+ Tools with Kanban Scrum Devops,https://www.udemy.com/course/agile-project-management-certification-scrumkanbandevops/?couponCode=A88GILE,3.53608,146,English,"37,5 total Stunden",IT & Software,IT-Zertifizierung,,1 days 14:00:00.000000000,{'Henry Harvin Education'}
28,Complete Amazon AWS Certified Solution Architect Course,https://www.udemy.com/course/complete-amazon-aws-certified-solution-architect-course/?couponCode=DISCUDEMY.COM,3.7,24,English,38 Min. gesamt,IT & Software,IT-Zertifizierung,,0 days 08:00:00.000000000,{'Masud Rana'}
97,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?LSNPUBID=PPkX79%2Fc*b0&amp;couponCode=MARSPECIAL,3.72414,34,English,32 Min. gesamt,IT & Software,Sonstiges,,2 days 18:00:00.000000000,{'John Courtenay'}
10,Affiliate Marketing Master Class Step By Step Guide 2020,https://www.udemy.com/course/modern-affiliate-marketing-earn-money-in-2018-complete-guide/?couponCode=304D884D069F2DF6F281,4.375,105,English,1 total Stunde,Marketing,Affiliate-Marketing,,0 days 07:00:00.000000000,{'Liaqat Eagle'}
81,ClickBank Affiliate Marketing Secrets Home Business Success,https://www.udemy.com/course/clickbank-affiliate-marketing-secrets-home-business-success/?couponCode=9ED3BFFD23BDF384B9B6,4.0,81,English,1 total Stunde,Marketing,Affiliate-Marketing,,0 days 07:00:00.000000000,{'Liaqat Eagle'}
68,Artificial Intelligence In Digital Marketing,https://www.udemy.com/course/artificial-intelligence-in-digital-marketing-skills/?couponCode=1E15D828B684900527DB,3.87234,62,English,1 total Stunde,Marketing,Digitales Marketing,,0 days 07:00:00.000000000,{'Liaqat Eagle'}
