,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
31,Trader – Take This Profession. From 0 To Professional,https://www.udemy.com/course/trader-profession/?couponCode=75B2FEF7DE1A1C02F7D6,3.4,28,English,34 Min. gesamt,Business,Finanzen,,1 days 06:00:00.000000000,{'Andrew Borysenko'}
42,Learn Illustrator CC: Create a Vector Knight,https://www.udemy.com/course/vector-knight/?couponCode=1242C800B381CA42BAB9,4.28571,79,English,1 total Stunde,Design,Grafikdesign,,2 days 22:00:00.000000000,{'Jonathan Lam'}
2,EFT Out Your Addiction to Junk Food and Sugar - BAM!!,https://www.udemy.com/course/eft-tapping-sugar-addiction/?couponCode=MARCH11EFTADDICTION,3.85,22,English,"2,5 total Stunden",Gesundheit & Fitness,Diäten,,1 days 13:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Joan Kaylor'}"
67,Installing & Configuring a DNS Server on Windows Server 2016,https://www.udemy.com/course/installing-configuring-dns-services-on-windows-server-2016/?couponCode=MARSPECIAL,3.85,10,English,35 Min. gesamt,IT & Software,Betriebssysteme,,1 days 02:00:00.000000000,{'John Courtenay'}
3,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?couponCode=MARSPECIAL,3.67188,38,English,32 Min. gesamt,IT & Software,Sonstiges,,1 days 02:00:00.000000000,{'John Courtenay'}
61,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?LSNPUBID=PPkX79%2Fc*b0&amp;couponCode=MARSPECIAL,3.67188,38,English,32 Min. gesamt,IT & Software,Sonstiges,,1 days 02:00:00.000000000,{'John Courtenay'}
43,Millennial Instagram Marketing 2020 | Grow Organic Followers,https://www.udemy.com/course/2020-millennial-insta-marketing-grow-10k-organic-followers/?couponCode=HAPPYLEARNING,3.88384,99,English,1 total Stunde,Marketing,Social-Media-Marketing,,2 days 07:00:00.000000000,{'Skyler Chase'}
34,SEO Training 2020 : Complete SEO Guide For Beginners,https://www.udemy.com/course/seo-training-2018-complete-seo-guide-for-beginners/?couponCode=HOLISPECIAL,3.39326,644,English,2 total Stunden,Marketing,Suchmaschinenoptimierung,,1 days 15:00:00.000000000,{'Dhabaleshwar Das'}
78,Old? Decrepit? You can still enjoy life - here’s how!,https://www.udemy.com/course/coping-with-old-age/?couponCode=OLDAGE,4.15,52,English,3 total Stunden,Persönliche Entwicklung,Glücklich leben,,0 days 00:00:00.000000000,{'Chris Bankes Sivewright'}
16,Dealing with Anxiety and Depression,https://www.udemy.com/course/dealing-with-anxiety-and-depression-b/?couponCode=MARCH20,3.7963,27,English,36 Min. gesamt,Persönliche Entwicklung,Persönliche Veränderung,,2 days 08:00:00.000000000,{'Code Of Mind School'}
44,The Search For Self - Being Authentic,https://www.udemy.com/course/be-authentic/?couponCode=MARCH12THESEARCH,4.35,32,English,2 total Stunden,Persönliche Entwicklung,Persönliche Veränderung,,2 days 14:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Richard Butler'}"
59,Relationship Management EI Certification -  Level 4,https://www.udemy.com/course/relationship-management/?couponCode=MARCH12RELATIONSHIP,4.4,23,English,"2,5 total Stunden",Persönliche Entwicklung,Persönliche Veränderung,,2 days 14:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Robert Jerus'}"
51,First Steps into Overcoming Your Fear,https://www.udemy.com/course/first-steps-into-overcoming-your-fear/?couponCode=MARCH20,4.0,18,English,32 Min. gesamt,Persönliche Entwicklung,Selbstwertgefühl,,0 days 04:00:00.000000000,{'Code Of Mind School'}
24,EFT Your PTSD and Trauma,https://www.udemy.com/course/ptsd-trauma-relief/?couponCode=MARCH11EFTPTSD,3.65,16,English,1 total Stunde,Persönliche Entwicklung,Stressbewältigung,,1 days 13:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Joan Kaylor'}"
57,Complete Database Course: 6 Courses in 1,https://www.udemy.com/course/database-course/?couponCode=FREEDATABASE2020,3.90625,253,English,3 total Stunden,Programmierung,Datenbanken,,0 days 17:00:00.000000000,{'Creative Online School'}
77,"Complete SQL Bootcamp with MySQL, PHP & Python",https://www.udemy.com/course/complete-sql-bootcamp-with-mysql-php-python/?couponCode=FREESQLBOOTCAMP,3.84483,404,English,3 total Stunden,Programmierung,Datenbanken,,1 days 20:00:00.000000000,{'Creative Online School'}
23,Complete JavaScript Course - Beginner to Advanced,https://www.udemy.com/course/complete-javascript-course-beginner-to-advanced/?couponCode=ODP11201,3.39474,51,English,44 Min. gesamt,Programmierung,Programmiersprachen,,0 days 06:00:00.000000000,{'Marufa Yasmin'}
