,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring
11,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=FEB2020FREE,4.5,27,en,"4,5 Stunden",Business,Daten & Analyse,Excel-Diagramme,99
5,Stock Options Day Trading Mindset for Success,https://www.udemy.com/course/stock-options-day-trading-success-mindset/?couponCode=F183514155225E1E8DFD,3.7,59,en,"4,5 Stunden",Business,Finanzen,Aktienhandel,99
22,Accounting–Financial Accounting Total-Beginners to Advanced,https://www.udemy.com/course/financial-accounting-accounting-cycle/?couponCode=1AC7718F3BD2984C2151,4.0,312,en,"115,5 Stunden",Business,Finanzen,Finanzbuchhaltung,11
7,Ebay Dropshipping 2020 Create Your Store & Make Money Online,https://www.udemy.com/course/make-money-online-by-dropshipping-on-ebay/?couponCode=72_HOURS_FREE,4.2,31,en,"2,5 Stunden",Business,Selbstständigkeit,Dropshipping,15
12,Business Education: Guide to Blockchain and Cryptocurrencies,https://www.udemy.com/course/business-education-guide-to-blockchain-and-cryptocurrencies/?couponCode=6073A48FABB1DC5DA4D0,4.3,66,en,2 Stunden,Business,Strategie,Blockchain,99
15,Entrepreneurship Fundamentals,https://www.udemy.com/course/business-wisdom-accelerator-x1000-learning-machine-aman-varma/?couponCode=SUCCESS,4.2,9,en,"1,5 Stunden",Business,Unternehmensgründung,Business (Grundlagen),10
3,Learn Cinema 4D: Low Poly Planet,https://www.udemy.com/course/low-poly-planet/?couponCode=B8BB71773FF32AD4D165,3.9,15,en,1 Stunde,Design,3D & Animation,Cinema 4D,14
1,Photo Editing With Free Software,https://www.udemy.com/course/photo-editing-with-free-software/?couponCode=EA0B5A65D1DB13380D2F,3.2,26,en,2 Stunden,Design,Grafikdesign,Bildbearbeitung,99
20,How to Analyze Football (Soccer) - Basics,https://www.udemy.com/course/how-to-analyze-football-soccer-basics/?couponCode=BA55E7B3F52CC8E4F6D8,4.6,28,en,1 Stunde,Gesundheit & Fitness,Sport,Fußball,99
17,Master in Hacking with XSS Cross Site Scripting,https://www.udemy.com/course/xss-cross-site-scripting/?couponCode=1_LAKH_FREE,3.7,172,en,3 Stunden,IT & Software,Netzwerk & Sicherheit,Ethical Hacking,10
24,Learn Network Attacks and Security,https://www.udemy.com/course/network-attacks-and-security/?couponCode=1_LAKH_FREE,3.7,241,en,5 Stunden,IT & Software,Netzwerk & Sicherheit,Netzwerksicherheit,9
21,Home Business: CPA Marketing From Scratch,https://www.udemy.com/course/home-business-cpa-marketing-from-scratch/?couponCode=AE11DEBF03A177024C32,4.0,286,en,2 Stunden,Marketing,Digitales Marketing,CPA-Marketing,99
10,"Improving love, sex & marriage - Relationship Coaching",https://www.udemy.com/course/successful-marriage-life-psychology-aman-varma/?couponCode=FORFREE,3.7,18,en,3 Stunden,Persönliche Entwicklung,Erziehung & Beziehung,Beziehungen aufbauen,10
16,"Dating, Relationships and Love Making Them Last Forever",https://www.udemy.com/course/dating-relationships-and-love/?couponCode=1CD710C451A4D978178C,3.6,11,en,"1,5 Stunden",Persönliche Entwicklung,Erziehung & Beziehung,Beziehungen aufbauen,99
2,Support Vector Machines in Python - SVM in Python 2019,https://www.udemy.com/course/machine-learning-adv-support-vector-machines-svm-python/?couponCode=FEB2020FREE,3.8,44,en,6 Stunden,Programmierung,Data Science,Machine Learning,99
8,Neural Networks (ANN) in R studio using Keras & TensorFlow,https://www.udemy.com/course/neural-network-understanding-and-building-an-ann-in-r/?couponCode=FEB2020FREE,3.9,27,en,8 Stunden,Programmierung,Data Science,Neuronale Netze,99
4,The App Developer Bootcamp,https://www.udemy.com/course/the-app-developer-bootcamp/?couponCode=SAVE100,5.0,14,en,6 Stunden,Programmierung,Mobile-Apps,iOS-Entwicklung,99
13,Java Programming: Complete Beginner to Advanced,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/?couponCode=BCE3FD6F2D6F574495F3,4.3,950,en,"1,5 Stunden",Programmierung,Programmiersprachen,Java,20
27,Artificial Intelligence for Civil Engineers: Part 1,https://www.udemy.com/course/artificial-intelligence-for-civil-engineers-part-1/?couponCode=93FFC0E24F9B3501E446,3.6,56,en,38 Min.,Programmierung,Programmierungstools,Bauwesen,99
25,Simple and Advanced Topics of Animating 2D Characters,https://www.udemy.com/course/learn-how-to-make-animated-2d-characters-in-unity3d/?couponCode=6BA7595D4FB477271D0F,4.5,52,en,"3,5 Stunden",Programmierung,Spieleentwicklung,Charakteranimation,99
0,Setup a Virtual Web Server using Linode or Digital Ocean,https://www.udemy.com/course/setup-a-virtual-web-server-using-linode-or-digital-ocean/?couponCode=4E643252D9F07A996C10,4.1,25,en,"2,5 Stunden",Programmierung,Webentwicklung,Virtuelle Maschinen,9
6,"JavaScript, Bootstrap, & PHP - Certification for Beginners",https://www.udemy.com/course/javascript-bootstrap-php-certification-for-beginners/?couponCode=60F705F6F4FE26A0B202,4.1,188,en,6 Stunden,Programmierung,Webentwicklung,Bootstrap,99
19,"HTML, CSS, & JavaScript - Certification Course for Beginners",https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/?couponCode=386F4144B7D0D1C2FA4C,4.2,459,en,"5,5 Stunden",Programmierung,Webentwicklung,CSS,99
