,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring
3,Wie Du Ein Erfolgreiches CPA Marketing Business Aufbaust,https://www.udemy.com/course/cpa-online-marketing-kurs/?couponCode=E3D9D93D77D6A0787742,3.8,50,de,"4,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
76,Der komplette Listenaufbau-Kurs im eMail Marketing,https://www.udemy.com/course/listenaufbau-email-marketing-und-newsletter-kurs/?couponCode=D56812240E38A51DB465,4.0,50,de,"8,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
0,Setup a Virtual Web Server using Linode or Digital Ocean,https://www.udemy.com/course/setup-a-virtual-web-server-using-linode-or-digital-ocean/?couponCode=4E643252D9F07A996C10,4.1,25,en,"2,5 Stunden",Business,Finanzen,Finanzbuchhaltung,6
1,Learn Cinema 4D: Low Poly Planet,https://www.udemy.com/course/low-poly-planet/?couponCode=B8BB71773FF32AD4D165,3.9,15,en,1 Stunde,Business,Finanzen,Finanzbuchhaltung,11
2,Support Vector Machines in Python - SVM in Python 2019,https://www.udemy.com/course/machine-learning-adv-support-vector-machines-svm-python/?couponCode=FEB2020FREE,3.8,44,en,6 Stunden,Business,Finanzen,Finanzbuchhaltung,99
4,Ultimate Time Management - BEST Time Management Course,https://www.udemy.com/course/ultimate-time-management-best-time-management-course-class-training/?couponCode=432989C22969F29DBB65,4.1,225,en,"2,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
5,Facebook Marketing: Drive Highly Targeted Facebook Traffic,https://www.udemy.com/course/facebook-marketing-targeted-traffic/?couponCode=0B7E7DC14584A36353B8,4.3,414,en,1 Stunde,Business,Finanzen,Finanzbuchhaltung,99
6,"JavaScript, Bootstrap, & PHP - Certification for Beginners",https://www.udemy.com/course/javascript-bootstrap-php-certification-for-beginners/?couponCode=60F705F6F4FE26A0B202,4.1,188,en,6 Stunden,Business,Finanzen,Finanzbuchhaltung,99
8,How to Find a Hot Topic for Your Udemy Course - Unofficial,https://www.udemy.com/course/unofficial-how-to-find-a-hot-topic-for-your-udemy-course/?couponCode=86E8BF80E9048A188C11,4.1,52,en,"1,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
10,Ultimate Persuasion Strategies! - Influence Tools & Skills,https://www.udemy.com/course/persuasion-strategies-tools/?couponCode=692E4770C6FB5E36DE5C,4.1,77,en,"2,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
