,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
11,Kundengewinnung und Kundenbindung mit Wowing,https://www.udemy.com/course/kundengewinnung-und-kundenbindung-mit-wowing/?couponCode=LAUNCHGESCHENK,0.0,0,Deutsch,2 total Stunden,Marketing,Branding,,2 days 11:00:00.000000000,{'Sebastian Glöckner'}
86,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=220320_FREE,4.20208,2746,English,2 total Stunden,Business,Management,,0 days 00:00:00.000000000,{'Paul Ashun'}
18,AMAZON MASTERY - How To Become An Amazon Best Selling Author,https://www.udemy.com/course/amazon-best-selling-authors/?couponCode=MARCH26AMAZON,3.65,43,English,"2,5 total Stunden",Business,Medien,,1 days 14:00:00.000000000,"{'Ricky Shetty', 'Scott Paton', 'Scott Alex'}"
28,The HR professional’s guide to cybersecurity,https://www.udemy.com/course/the-hr-professionals-guide-to-cybersecurity/?couponCode=5AA12E9975E0A32AE860,3.17857,15,English,1 total Stunde,Business,Personalwesen,,2 days 04:00:00.000000000,{'Teo Dvali'}
96,Dropshipping with Wordpress: Create a Dropship Business Fast,https://www.udemy.com/course/dropshipping-with-wordpress/?couponCode=MARCH25DROPSHIPPING,3.85,62,English,"2,5 total Stunden",Business,Selbstständigkeit,,0 days 13:00:00.000000000,"{'MindQuest Academy', 'Scott Paton', 'Scott Alex'}"
104,12 Proven Ways to Turn YouTube into a Career,https://www.udemy.com/course/12-proven-ways-to-turn-youtube-into-a-career/?couponCode=F8E3772C8BE15A356259,3.95,42,English,"1,5 total Stunden",Business,Selbstständigkeit,,2 days 07:00:00.000000000,{'Bryan Guerra'}
46,Entrepreneurship Accelerator Program,https://www.udemy.com/course/entrepreneurship-accelerator-program/?couponCode=BBF6A4AB54B50A47DC6B,3.5,47,English,"2,5 total Stunden",Business,Unternehmensgründung,,2 days 07:00:00.000000000,{'Bryan Guerra'}
73,How to Upload Content to Amazon Prime Video Direct,https://www.udemy.com/course/how-to-upload-content-to-amazon-prime-video-direct/?couponCode=92A1E2FC7D5D3C2ECC4C,4.35,12,English,1 total Stunde,Business,Unternehmensgründung,,0 days 05:00:00.000000000,{'Bryan Guerra'}
93,COACHING MASTERY - Build a Profitable Coaching Business,https://www.udemy.com/course/coaching-business/?couponCode=MARCH25MASTERY,3.3,15,English,3 total Stunden,Business,Unternehmensgründung,,0 days 13:00:00.000000000,"{'Ricky Shetty', 'Scott Paton', 'Scott Alex'}"
118,Entrepreneurship Fundamentals,https://www.udemy.com/course/entrepreneurship-fundamentals/?couponCode=FREEMARCH2,3.9,14,English,2 total Stunden,Business,Unternehmensgründung,,1 days 01:00:00.000000000,{'mProve Solutions'}
141,Learn Cinema 4D: Low Poly Wolf,https://www.udemy.com/course/low-poly-art-create-an-abstract-wolf/?couponCode=13955A65EB2C9E6A3F8B,4.0,74,English,1 total Stunde,Design,3D & Animation,,0 days 22:00:00.000000000,{'Jonathan Lam'}
13,Photoshop CC: 20 Common Productivity and Design Mistakes,https://www.udemy.com/course/graphic-designers-photoshop-cc/?couponCode=MARCH25PHOTOSHOP,4.08824,68,English,"1,5 total Stunden",Design,Grafikdesign,,0 days 13:00:00.000000000,"{'Nathan Segal', 'Scott Paton', 'Scott Alex'}"
108,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=MARCHLW2020,3.73077,48,English,1 total Stunde,Finanzen & Rechnungswesen,Investition & Trading,,0 days 04:00:00.000000000,{'Alex Rodolitz'}
72,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=5968C665DF4E5504D0BF,4.26966,353,English,8 total Stunden,Fotografie,Fotografietools,,0 days 14:00:00.000000000,{'YouAccel Training'}
91,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=NEW_SKILLS_MARCH,4.32517,727,English,"5,5 total Stunden",Fotografie,Videodesign,,1 days 17:00:00.000000000,{'Brad Newton'}
116,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=VIDEOSCHOOL,3.65385,40,English,2 total Stunden,Fotografie,Videodesign,,0 days 15:00:00.000000000,{'Dhabal Video School'}
32,Server 2012 R2 - Hands-on Training Part I,https://www.udemy.com/course/windows-server-2012-r2-installation-and-configuration/?couponCode=67016E1E0247CD20D53E,4.34375,489,English,7 total Stunden,IT & Software,Betriebssysteme,,1 days 13:00:00.000000000,{'Prof. K'}
59,Microsoft Windows Server 2016 - Hands-on Training,https://www.udemy.com/course/server-2016-hands-on-training/?couponCode=11AD3E28087B73CC0D9B,4.55882,101,English,8 total Stunden,IT & Software,Betriebssysteme,,1 days 13:00:00.000000000,{'Prof. K'}
60,Microsoft Windows Server 2019 - Hands-on Training,https://www.udemy.com/course/microsoft-windows-server-2019-hands-on-training-part-i/?couponCode=2AC2D131259E473D3BC5,4.54839,114,English,6 total Stunden,IT & Software,Betriebssysteme,,1 days 13:00:00.000000000,{'Prof. K'}
81,Linux Server Administration Made Easy with Hands-on Training,https://www.udemy.com/course/linux-made-easy-with-hands-on-training/?couponCode=4B1CEB85E07DECA880EC,4.54167,217,English,4 total Stunden,IT & Software,Betriebssysteme,,1 days 13:00:00.000000000,{'Prof. K'}
127,Server 2012 R2 - Hands-on Training Part II,https://www.udemy.com/course/windows-server-2012r2-hands-on-training-part-ii/?couponCode=B8B5DDF7194931BF1E4F,4.38462,120,English,"7,5 total Stunden",IT & Software,Betriebssysteme,,1 days 13:00:00.000000000,{'Prof. K'}
3,Ethical Hacking - A Hands-On Approach to Ethical Hacking,https://www.udemy.com/course/hacking-made-easy-with-hands-on-training/?couponCode=1AC6A6C7FAE3F5092315,4.52222,547,English,9 total Stunden,IT & Software,Netzwerk & Sicherheit,,1 days 13:00:00.000000000,{'Prof. K'}
92,Ethical Hacking - Capture the Flag Walkthroughs - v1,https://www.udemy.com/course/ethical-hacking-capture-the-flag-walkthroughs/?couponCode=910C7FB0458866FECC31,4.55882,295,English,"2,5 total Stunden",IT & Software,Netzwerk & Sicherheit,,1 days 13:00:00.000000000,{'Prof. K'}
120,Ethical Hacking - Capture the Flag Walkthroughs - v2,https://www.udemy.com/course/ethical-hacking-capture-the-flag-walkthroughs-v2/?couponCode=5048CD2346D8BFFEC714,4.6,53,English,"1,5 total Stunden",IT & Software,Netzwerk & Sicherheit,,1 days 13:00:00.000000000,{'Prof. K'}
27,Master AWS Fargate & ECS with Java Spring Boot Microservices,https://www.udemy.com/course/deploy-spring-microservices-to-aws-with-ecs-and-aws-fargate/?couponCode=FOCUS-AND-LEARN,4.44492,220,English,8 total Stunden,IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
29,Master Docker with Java - DevOps for Spring Microservices,https://www.udemy.com/course/docker-course-with-java-and-spring-boot-for-beginners/?couponCode=FOCUS-AND-LEARN,4.49834,470,English,"6,5 total Stunden",IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
30,Master Azure Web Apps - Take Java Spring Boot Apps to Azure,https://www.udemy.com/course/deploy-spring-boot-to-azure/?couponCode=FOCUS-AND-LEARN,4.35185,40,English,6 total Stunden,IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
35,Learn AWS - Deploy Java Spring Boot to AWS Elastic Beanstalk,https://www.udemy.com/course/deploy-java-spring-boot-to-aws-amazon-web-service/?couponCode=FOCUS-AND-LEARN,4.54575,442,English,"6,5 total Stunden",IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
37,Master Pivotal Cloud Foundry with Spring Boot Microservices,https://www.udemy.com/course/learn-pivotal-cloud-foundry-pcf-deploying-spring-boot-apps/?couponCode=FOCUS-AND-LEARN,4.51786,233,English,"5,5 total Stunden",IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
82,"Master Kubernetes with Docker on Google Cloud, AWS & Azure",https://www.udemy.com/course/kubernetes-crash-course-for-java-developers/?couponCode=FOCUS-AND-LEARN,4.53398,319,English,13 total Stunden,IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
88,"Master DevOps with Docker, Kubernetes and Azure DevOps",https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/?couponCode=FOCUS-AND-LEARN,4.38559,120,English,21 total Stunden,IT & Software,Sonstiges,,1 days 16:00:00.000000000,{'in28Minutes Official'}
