,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
102,Umfassender MBA Kurs: Preisgekrönter Professor aus USA,https://www.udemy.com/course/vollstandiger-mba-in-einem-kurs-preisgekroenter-professor-haroun/?couponCode=A4ACFA6BF51438869275,4.25,122,Deutsch,8 total Stunden,Business,Unternehmensgründung,,0 days 06:00:00.000000000,"{'Complete Business Education (International Version) by Chris Haroun', 'Chris Haroun'}"
10,Build Financial Models & Value Companies The Easy Way,https://www.udemy.com/course/build-basic-financial-models-valuation-companies-the-easy-way/?couponCode=8ABEB20F5F0BF9A4A0BC,4.03846,228,English,1 total Stunde,Business,Finanzen,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
32,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/?couponCode=5FEC68776DFDBA8097AF,4.54545,1000,English,"8,5 total Stunden",Business,Finanzen,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
53,The Complete Financial Analyst Training & Investing Course,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/?couponCode=5F1B4C3D62885D76EF15,4.494,12645,English,"22,5 total Stunden",Business,Finanzen,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
69,Venture Capital. What is it and Why it Matters to You!,https://www.udemy.com/course/venture-capital-sector-overview-what-is-it-and-why-it-matters-to-you/?couponCode=BFCFD12AFC50FF4C16B1,3.95,97,English,3 total Stunden,Business,Finanzen,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
86,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/course/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/?couponCode=E20D61DCDE7CAF4212ED,4.25,269,English,22 total Stunden,Business,Finanzen,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
89,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/?couponCode=18A4F07A767BE15D832F,4.40098,11012,English,"4,5 total Stunden",Business,Finanzen,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
124,The Complete Cryptocurrency Course: More than 5 Courses in 1,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/?couponCode=7BC6F9124DB6FE16ED78,4.57895,1527,English,24 total Stunden,Business,Finanzen,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
125,"The Complete Personal Finance Course: Save,Protect,Make More",https://www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/?couponCode=83D248E6F1719BF20313,4.51408,3301,English,16 total Stunden,Business,Finanzen,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
23,TED Talk Success: Be a Sought After TedX Speaker,https://www.udemy.com/course/ted-talk/?couponCode=MARCH19TEDTALK,4.0,32,English,2 total Stunden,Business,Kommunikation,,2 days 13:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Nathan Eckel'}"
30,Networking Growth Hacks: Take Your Career to the Next Level,https://www.udemy.com/course/networking-growth-hacks-take-your-career-to-the-next-level/?couponCode=8C762CE89AB83E85FC1C,4.28846,257,English,"3,5 total Stunden",Business,Kommunikation,,0 days 06:00:00.000000000,"{'Dragos Stefanescu', 'Jimmy Naraine', 'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
66,The Complete Presentation and Public Speaking/Speech Course,https://www.udemy.com/course/the-complete-presentation-and-public-speaking-speech-course/?couponCode=67FF7286807E9A286A4E,4.38467,6911,English,16 total Stunden,Business,Kommunikation,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
83,First Steps in Business Writing,https://www.udemy.com/course/first-steps-in-business-writing/?couponCode=MAR2020,4.15,28,English,1 total Stunde,Business,Kommunikation,,0 days 23:00:00.000000000,{'Talent Zoom'}
19,How to Manage by Delegating (So You Can Achieve Your Goals)!,https://www.udemy.com/course/how-to-manage-by-delegating-so-you-can-achieve-your-goals/?couponCode=EDA0452CCAE5F37411B1,4.12903,247,English,1 total Stunde,Business,Management,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
93,Get into the Top Business Schools + MBA Admissions Tips,https://www.udemy.com/course/get-into-the-top-business-schools-mba-admissions-secrets/?couponCode=23A2205F4990B5EB3AD6,3.95,322,English,33 Min. gesamt,Business,Management,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
114,How to Motivate Employees (So That Productivity Increases)!,https://www.udemy.com/course/how-to-motivate-employees-so-that-productivity-increases/?couponCode=A250AC9F3E89CCE8FFA5,4.30469,477,English,"2,5 total Stunden",Business,Management,,0 days 05:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
110,How to Find The Perfect Virtual Assistant For Your Business,https://www.udemy.com/course/find-perfect-virtual-assistants-for-your-business/?couponCode=MARCH18HOWTOFIND,4.1,19,English,1 total Stunde,Business,Personalwesen,,1 days 11:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Le-an Lai Lacaba'}"
18,Grow your business Globally through channel partners,https://www.udemy.com/course/grow-business-through-channel/?couponCode=FBBF30680A1C47B35B45,4.4,16,English,"1,5 total Stunden",Business,Strategie,,1 days 01:00:00.000000000,{'Ahmed Tolba'}
12,An Entire MBA in 1 Course:Award Winning Business School Prof,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/?couponCode=355ED8C977B7A0440716,4.4636,31584,English,"56,5 total Stunden",Business,Unternehmensgründung,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
48,101 Crucial Lessons They Don't Teach You In Business School,https://www.udemy.com/course/101-crucial-lessons-they-dont-teach-you-in-business-mba-school/?couponCode=61ECDD0A1F2C68F4A2D5,4.47015,1271,English,"4,5 total Stunden",Business,Unternehmensgründung,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
57,Amazon FBA Product Research & Find Products for Amazon FBA,https://www.udemy.com/course/amazon-fba-how-to-find-a-profitable-product-in-a-few-steps/?couponCode=AMAZONFINDPRODUCT,4.3,25,English,"1,5 total Stunden",Business,Unternehmensgründung,,1 days 21:00:00.000000000,{'Pavlo Pop'}
95,Intro to Accounting the Easy Way! Free Book Included!,https://www.udemy.com/course/business-school-basic-introduction-to-accounting-the-easy-way-mba/?couponCode=02E5BA16B7ACECAEB9A0,4.59091,85,English,"12,5 total Stunden",Business,Unternehmensgründung,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
96,The Complete Business Plan Course (Includes 50 Templates),https://www.udemy.com/course/the-complete-business-plan-course/?couponCode=2ADAB1F06BF272C9CC74,4.56917,1950,English,9 total Stunden,Business,Unternehmensgründung,,0 days 05:00:00.000000000,{'Chris Haroun'}
100,Fundraising Advice from a Successful Venture Capitalist,https://www.udemy.com/course/fundraising-advice-from-a-successful-venture-capitalist/?couponCode=6864BA3AC61DE31A103E,4.35,229,English,"3,5 total Stunden",Business,Unternehmensgründung,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
26,Intro to Business Law for Entrepreneurs (+Free Book!),https://www.udemy.com/course/introduction-to-business-law-for-entrepreneurs-mba-business-school/?couponCode=88C7696E28DF5E5EA10E,4.75,176,English,18 total Stunden,Business,Wirtschaftsrecht,,0 days 06:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
68,Blender 2.8 Complete Beginners Guide to 3D Modelling a Scene,https://www.udemy.com/course/blender-28-complete-beginners-guide-to-3d-modelling-a-scene/?couponCode=3DTUDORMAR,4.27011,173,English,21 total Stunden,Design,3D & Animation,,0 days 19:00:00.000000000,{'Neil Bettison'}
43,Inkscape tutorial : From Zero To Design Hero,https://www.udemy.com/course/inkscape-tutorial-from-zero-to-design-hero/?couponCode=867D066BC22A1C8F57F6,3.94737,19,English,2 total Stunden,Design,Designtools,,1 days 10:00:00.000000000,{'Marta Rey'}
88,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=MARCHSW2020,3.74359,42,English,1 total Stunde,Finanzen & Rechnungswesen,Investition & Trading,,1 days 03:00:00.000000000,{'Alex Rodolitz'}
55,Complete Photography Course for Beginners : 9 Courses in 1,https://www.udemy.com/course/complete-photography-course/?couponCode=COMPLETEPHOTO,3.46875,279,English,2 total Stunden,Fotografie,Fotografiegrundlagen,,0 days 19:00:00.000000000,{'Creative Online School'}
82,Earn from Photography: A Step By Step Guideline,https://www.udemy.com/course/earn-from-photography-complete-guideline/?couponCode=FREEPHOTOGRAPHY2020,3.5,51,English,"1,5 total Stunden",Fotografie,Gewerbliche Fotografie,,0 days 16:00:00.000000000,{'Creative Online School'}
65,Video Production Masterclass: Complete Video Camera Course,https://www.udemy.com/course/video-production-masterclass-complete-video-camera-course/?couponCode=8292F63F768870843D98,4.58824,170,English,27 total Stunden,Fotografie,Videodesign,,0 days 05:00:00.000000000,"{'Steven Washer', 'Chris Haroun'}"
116,Documentary Filmmaking Step by Step,https://www.udemy.com/course/documentary-filmmaking-step-by-step/?couponCode=COVID19,4.19,339,English,5 total Stunden,Fotografie,Videodesign,,2 days 02:00:00.000000000,{'Adam Bhala Lough'}
4,How to Install Ubuntu Linux on a Virtual Machine,https://www.udemy.com/course/quick-guide-on-installing-ubuntu-linux-beginner-to-advanced/?couponCode=7997FE68E8901D1E52F0,4.55,68,English,"1,5 total Stunden",IT & Software,Betriebssysteme,,2 days 02:00:00.000000000,{'Jerome P. from JP Courses'}
28,Top Linux Interview Questions & Answers (beginner-advanced),https://www.udemy.com/course/top-linux-interview-questions-answers-beginner-advanced/?couponCode=56BA45966A22108E705D,3.45,29,English,"3,5 total Stunden",IT & Software,Betriebssysteme,,2 days 02:00:00.000000000,{'Jerome P. from JP Courses'}
39,Linux BASH Shell Terminal Command Basics,https://www.udemy.com/course/linux-terminal-command-basics/?couponCode=C686A2FE26DC7267AF30,3.53125,194,English,4 total Stunden,IT & Software,Betriebssysteme,,2 days 02:00:00.000000000,{'Jerome P. from JP Courses'}
41,How to Install Linux Mint (Cinnamon) on a Virtual Machine,https://www.udemy.com/course/quick-guide-on-installing-linux-mint-beginner-to-advanced/?couponCode=2DA443162EE3B34D5D1E,3.6,32,English,"1,5 total Stunden",IT & Software,Betriebssysteme,,2 days 02:00:00.000000000,{'Jerome P. from JP Courses'}
103,Super way to Learn Arduino | Creative,https://www.udemy.com/course/super-way-to-learn-arduino-creative/?couponCode=MARCH1FLASH,3.86111,66,English,2 total Stunden,IT & Software,Hardware,,0 days 20:00:00.000000000,{'Mohammed Zaid'}
