,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
30,Product Management :Agile Requirements using Product Backlog,https://www.udemy.com/course/agile-product-management-scrum/?couponCode=200220_FREE,3.8,426,Englisch,1.5,Business,Management,Produktmanagement
15,Work From Home: The Amazon FBA MasterPlan,https://www.udemy.com/course/online-business-selling-simple-products-amazon/?couponCode=WFHTAFMFEBFREE,4.4,2145,Englisch,2.5,Business,Selbstständigkeit,Amazon FBA
27,"MLM, Direct Sales and Network Marketing Global Success",https://www.udemy.com/course/mlm-network-marketing-direct-sales/?couponCode=C711FCAEB90AA61F5F4C,4.3,65,Englisch,2.0,Business,Selbstständigkeit,Netzwerk-Marketing
25,Gamification: Use Gamification in Marketing,https://www.udemy.com/course/marketing-with-fun-gamification-made-easy/?couponCode=FEB2020,4.0,56,Englisch,43.0,Business,Unternehmensgründung,Gamification
9,Hidden Secrets Of Selling - Part 1,https://www.udemy.com/course/secrets-of-selling-marketing-1/?couponCode=0548F8210F8E8156619D,4.2,20,Englisch,2.5,Business,Verkauf/Vertrieb,Verkaufs-Skills
84,Blender 2.8 Creating your First 3D Game Model,https://www.udemy.com/course/blender-2-8-creating-your-first-3d-game-model/?couponCode=3DTUDORWELLFEB,4.4,19,Englisch,5.5,Design,3D & Animation,3D-Modelle
23,Tally ERP 9 : Step by Step Guide to Accounting With Tally,https://www.udemy.com/course/tally-erp-9-step-by-step-guide-to-accounting-with-tally/?couponCode=EASYTALLY,4.1,71,Englisch,8.0,Finanzen & Rechnungswesen,Rechnungswesen & Buchhaltung,Tally.ERP
54,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=FEB2020_FREE,4.4,561,Englisch,5.5,Fotografie,Videodesign,Adobe Premiere
56,EFT Tapping for OCD Anxiety using Gentle Behavior Therapy,https://www.udemy.com/course/eft-ocd-using-gentle-behavior-therapy/?couponCode=27907366E1526A986EFF,4.4,31,Englisch,1.5,Gesundheit & Fitness,Mentale Gesundheit,EFT
0,CompTIA Cybersecurity Analyst CySA+ (CSA+): Practice Exam,https://www.udemy.com/course/comptia-cybersecurity-analyst-cysa-csa-practice-exam/?couponCode=FREECYSAPLUS,3.9,9,Englisch,3.0,IT & Software,Netzwerk & Sicherheit,CompTIA CySA+
34,Wi-Fi Hacking with Kali,https://www.udemy.com/course/wi-fi-hacking-with-kali/?couponCode=1_LAKH_FREE_,3.9,577,Englisch,2.5,IT & Software,Netzwerk & Sicherheit,Kali Linux
