,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
136,Umfassender MBA Kurs: Preisgekrönter Professor aus USA,https://www.udemy.com/course/vollstandiger-mba-in-einem-kurs-preisgekroenter-professor-haroun/?couponCode=CC69FB8127D8466DE13E,4.25,122,Deutsch,8 total Stunden,Business,Unternehmensgründung,,0 days 12:00:00.000000000,"{'Complete Business Education (International Version) by Chris Haroun', 'Chris Haroun'}"
39,Microsoft Power BI - Up & Running With Power BI Desktop,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/?couponCode=FREE2020,4.63181,12606,English,11 total Stunden,Business,Daten & Analyse,,0 days 06:00:00.000000000,"{'Chris Dutton', 'Aaron Parry', 'Maven Analytics'}"
48,Power BI: From Zero to Hero,https://www.udemy.com/course/power-bi-from-zero-to-hero-am/?couponCode=FREEPOWERBI87,3.95,20,English,"2,5 total Stunden",Business,Daten & Analyse,,2 days 12:00:00.000000000,{'Vardges Zardaryan'}
84,Mastering Data Analysis in Excel,https://www.udemy.com/course/mastering-data-analysis-in-excel-am/?couponCode=FREEEXCEL24,4.33333,70,English,"4,5 total Stunden",Business,Daten & Analyse,,2 days 11:00:00.000000000,{'Vardges Zardaryan'}
126,Data Analyst's Toolbox: Excel to MySQL,https://www.udemy.com/course/data-analysts-toolbox-excel-to-mysql-am/?couponCode=ANALITICSFREE20,4.03846,41,English,"6,5 total Stunden",Business,Daten & Analyse,,2 days 11:00:00.000000000,{'Vardges Zardaryan'}
49,Build Financial Models & Value Companies The Easy Way,https://www.udemy.com/course/build-basic-financial-models-valuation-companies-the-easy-way/?couponCode=1E70AEDA2EF4463805D1,4.04545,235,English,1 total Stunde,Business,Finanzen,,0 days 12:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
53,"The Complete Personal Finance Course: Save,Protect,Make More",https://www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/?couponCode=B6608D9FFAF8AEA148AD,4.52444,3344,English,16 total Stunden,Business,Finanzen,,0 days 11:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
80,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/?couponCode=91E9A5EB20F90B06EB31,4.4019,11298,English,"4,5 total Stunden",Business,Finanzen,,0 days 11:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
82,Venture Capital. What is it and Why it Matters to You!,https://www.udemy.com/course/venture-capital-sector-overview-what-is-it-and-why-it-matters-to-you/?couponCode=E646B1308F2592D9F19C,4.35,100,English,3 total Stunden,Business,Finanzen,,0 days 12:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
85,The Complete Financial Analyst Training & Investing Course,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/?couponCode=C301356482DD054AC7A8,4.4898,12832,English,"22,5 total Stunden",Business,Finanzen,,0 days 11:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
