,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
87,"Real Estate Investing: Foreclosures, Flipping Houses Profits",https://www.udemy.com/course/real-estate-investing-foreclosures/?couponCode=MARCH20REALESTATE,3.85417,86,English,2 total Stunden,Business,Immobilien,,2 days 11:00:00.000000000,"{'Jay Conner', 'Scott Paton', 'Scott Alex'}"
52,Communication Skills at Workplace,https://www.udemy.com/course/communication-skills-at-workplace/?couponCode=MAR2020,4.03247,95,English,1 total Stunde,Business,Kommunikation,,2 days 00:00:00.000000000,{'Talent Zoom'}
71,TED Talk Success: Be a Sought After TedX Speaker,https://www.udemy.com/course/ted-talk/?couponCode=MARCH19TEDTALK,4.0,32,English,2 total Stunden,Business,Kommunikation,,1 days 13:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Nathan Eckel'}"
11,How to Find The Perfect Virtual Assistant For Your Business,https://www.udemy.com/course/find-perfect-virtual-assistants-for-your-business/?couponCode=MARCH18HOWTOFIND,4.1,19,English,1 total Stunde,Business,Personalwesen,,0 days 11:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Le-an Lai Lacaba'}"
56,Work From Home: The Amazon FBA MasterPlan,https://www.udemy.com/course/online-business-selling-simple-products-amazon/?couponCode=WFHTAFMMARFREE,4.5,2151,English,4 total Stunden,Business,Selbstständigkeit,,2 days 02:00:00.000000000,"{'Online Marketing Classroom', 'Tim Godfrey'}"
30,Grow your business Globally through channel partners,https://www.udemy.com/course/grow-business-through-channel/?couponCode=FBBF30680A1C47B35B45,4.4,16,English,"1,5 total Stunden",Business,Strategie,,0 days 01:00:00.000000000,{'Ahmed Tolba'}
72,Amazon FBA Product Research & Find Products for Amazon FBA,https://www.udemy.com/course/amazon-fba-how-to-find-a-profitable-product-in-a-few-steps/?couponCode=AMAZONFINDPRODUCT,4.3,25,English,"1,5 total Stunden",Business,Unternehmensgründung,,0 days 21:00:00.000000000,{'Pavlo Pop'}
74,Inkscape tutorial : From Zero To Design Hero,https://www.udemy.com/course/inkscape-tutorial-from-zero-to-design-hero/?couponCode=867D066BC22A1C8F57F6,3.94737,19,English,2 total Stunden,Design,Designtools,,0 days 10:00:00.000000000,{'Marta Rey'}
97,Complete Photoshop Course: Beginner To Expert!,https://www.udemy.com/course/complete-photoshop-course-beginner-to-expert/?couponCode=DISCUDEMY.COM,3.23333,15,English,34 Min. gesamt,Design,Designtools,,2 days 06:00:00.000000000,{'Muhammad Saju Ahmed'}
76,Photo Editing With Free Software,https://www.udemy.com/course/photo-editing-with-free-software/?couponCode=46C0814AD7B1B19A2CD3,3.5625,29,English,3 total Stunden,Design,Grafikdesign,,2 days 01:00:00.000000000,{'Phillip Dillow'}
