,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
41,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=MARCH20FREE,4.26786,46,English,"4,5 total Stunden",Business,Daten & Analyse,,0 days 20:00:00.000000000,{'Start-Tech Academy'}
86,First Steps in Business Writing,https://www.udemy.com/course/first-steps-in-business-writing/?couponCode=MAR2020,4.11111,21,English,1 total Stunde,Business,Kommunikation,,2 days 20:00:00.000000000,{'Talent Zoom'}
68,Blender 2.8 Complete Beginners Guide to 3D Modelling a Scene,https://www.udemy.com/course/blender-28-complete-beginners-guide-to-3d-modelling-a-scene/?couponCode=3DTUDORMAR,4.24691,164,English,21 total Stunden,Design,3D & Animation,,2 days 15:00:00.000000000,{'Neil Bettison'}
15,PicsArt Full Guide: Zero To Hero In Photo Editing & Retouch,https://www.udemy.com/course/picsart-full-guide-zero-to-hero-in-photo-editing-retouch/?couponCode=PICSARTOFFER,3.97727,107,English,"1,5 total Stunden",Design,Designtools,,0 days 11:00:00.000000000,{'Dhabaleshwar Das'}
6,Complete Photography Course for Beginners : 9 Courses in 1,https://www.udemy.com/course/complete-photography-course/?couponCode=COMPLETEPHOTO,3.51613,273,English,2 total Stunden,Fotografie,Fotografiegrundlagen,,2 days 16:00:00.000000000,{'Creative Online School'}
17,Sell Photo Online: Step by Step Guideline Stock Photography,https://www.udemy.com/course/mastering-stock-photography-step-by-step-guideline/?couponCode=STOCKPHOTOGRAPHY,3.29167,279,English,1 total Stunde,Fotografie,Gewerbliche Fotografie,,1 days 11:00:00.000000000,{'Creative Online School'}
49,Earn from Photography: A Step By Step Guideline,https://www.udemy.com/course/earn-from-photography-complete-guideline/?couponCode=FREEPHOTOGRAPHY2020,3.5,50,English,"1,5 total Stunden",Fotografie,Gewerbliche Fotografie,,2 days 12:00:00.000000000,{'Creative Online School'}
43,Super way to Learn Arduino | Creative,https://www.udemy.com/course/super-way-to-learn-arduino-creative/?couponCode=MARCH1FLASH,4.03333,55,English,2 total Stunden,IT & Software,Hardware,,2 days 17:00:00.000000000,{'Mohammed Zaid'}
62,Google's - Professional Cloud Architect Certification 2020 !,https://www.udemy.com/course/google-cloud-architect-certifications/?couponCode=MAR10FREE,3.84138,2021,English,"23,5 total Stunden",IT & Software,IT-Zertifizierung,,1 days 03:00:00.000000000,{'Google Cloud Platform Gurus !'}
44,Proven Travel Hacks for Southeast Asia,https://www.udemy.com/course/travel-hacks-for-southeast-asia/?couponCode=MARCH15PROVEN,3.7,12,English,1 total Stunde,Lifestyle,Reisen,,0 days 10:00:00.000000000,"{'Ricky Shetty', 'Scott Paton', 'Scott Alex'}"
23,Marketing Analytics: Customer Value and Promotion Strategy,https://www.udemy.com/course/customer-valuation-for-entrepreneur-and-marketers/?couponCode=MARCH20FREE,4.1,22,English,"1,5 total Stunden",Marketing,Analyse & Automatisierung,,0 days 20:00:00.000000000,{'Start-Tech Academy'}
35,Google Adwords For Newbies,https://www.udemy.com/course/ultimate-google-adwords-ads-training-for-ppc-seo-2019/?couponCode=MAR202,3.31818,49,English,2 total Stunden,Marketing,Digitales Marketing,,1 days 01:00:00.000000000,"{'Yasir Ahmed, M.B.A'}"
