,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
3,Basic Bookkeeping Hacks,https://www.udemy.com/course/basic-bookkeeping/?couponCode=EAA7B1C697EC63217A3A,3.7,58,Englisch,1.5,Business,Finanzen,Buchhaltung
49,Save on Your Taxes,https://www.udemy.com/course/save-on-your-taxes/?couponCode=EA50BBCF78CB0A6ECE3F,3.9,33,Englisch,1.5,Business,Finanzen,Steuererklärung
74,Difficult Conversations: Personal Hygiene in the Workplace,https://www.udemy.com/course/new-supervisor-personal-hygiene-in-the-workplace/?couponCode=FEB2020,4.1,12,Englisch,33.0,Business,Management,Schwierige Gespräche
59,Scrum Master Training : Case Studies and Confessions,https://www.udemy.com/course/scrum-case-studies/?couponCode=120220_FREE,4.1,892,Englisch,1.5,Business,Projektmanagement,Scrum
20,Real Fast Podcast into Best Selling Kindle Books Easily,https://www.udemy.com/course/learn-to-make-podcasts-into-kindle-books/?couponCode=0C0B3A86C0A9A4ACC592,4.8,32,Englisch,2.5,Business,Unternehmensgründung,Podcasts
23,Fiverr: How To Start Freelancing Career With Fiverr,https://www.udemy.com/course/fiverr-start-freelancing-become-a-top-rated-fiverr-seller-on-fiverr/?couponCode=66F3F399C2B8720C653B,4.2,154,Englisch,1.0,Business,Unternehmensgründung,Fiverr
55,GIMP Advanced Graphic Design: Free 3D Book and eBook Covers,https://www.udemy.com/course/gimp-advanced/?couponCode=1E12B6B5802EFE7C47C8,4.3,53,Englisch,2.5,Design,Designtools,GIMP
8,Learn Illustrator CC: Create Simple Flat Vector Characters,https://www.udemy.com/course/simple-flat-vector-characters/?couponCode=4C32613C45210EE32A8D,4.4,273,Englisch,1.0,Design,Grafikdesign,Adobe Illustrator
12,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=VALENTINESALE,3.4,17,Englisch,2.0,Fotografie,Videodesign,Color Grading (Farbkorrektur)
69,"Superfoods, Herbalism, Nutrition Basics and Your Health",https://www.udemy.com/course/superfoods/?couponCode=21FC9223B6B1FE4BD563,4.2,113,Englisch,3.0,Gesundheit & Fitness,Ernährung,Ernährung
38,The Beginners Guide to Cyber Security 2020,https://www.udemy.com/course/the-beginners-guide-to-cyber-security-2019/?couponCode=VALENTINEDAY2020,4.2,278,Englisch,2.5,IT & Software,Netzwerk & Sicherheit,Cyber-Sicherheit
31,ClickBank Affiliate Marketing Secrets Home Business Success,https://www.udemy.com/course/clickbank-affiliate-marketing-secrets-home-business-success/?couponCode=799E65607C7E970D1BC1,4.1,76,Englisch,1.0,Marketing,Affiliate-Marketing,Affiliate-Marketing
57,Understanding Instagram Marketing - The Basics,https://www.udemy.com/course/understanding-instagram-marketing-the-basics/?couponCode=FEB2020,3.7,12,Englisch,3.0,Marketing,Content-Marketing,Instagram-Marketing
21,Whatsapp Marketing Mastery 2020,https://www.udemy.com/course/whatsapp-marketing-mastery-2020/?couponCode=A26CF2605FE09F50D496,3.1,12,Englisch,1.5,Marketing,Digitales Marketing,WhatsApp-Marketing
40,Artificial Intelligence In Digital Marketing,https://www.udemy.com/course/artificial-intelligence-in-digital-marketing-skills/?couponCode=2D82B9DDBA657BA550BA,3.9,55,Englisch,1.0,Marketing,Digitales Marketing,Digitales Marketing
13,Podcast Pacing For Audience Engagement,https://www.udemy.com/course/learn-podcast-pacing/?couponCode=3F0C5C9125A717C71D2E,4.3,22,Englisch,1.0,Marketing,Social-Media-Marketing,Podcasts
35,Facebook Social Media Sales Success,https://www.udemy.com/course/facebook-social-media/?couponCode=6FC401A7CECCD4A47A6A,3.8,176,Englisch,1.0,Marketing,Social-Media-Marketing,Social-Media-Marketing
39,"YouTube Millions 2020: Increase Profits, Subs, Views & Rank",https://www.udemy.com/course/youtubehacks/?LSNPUBID=PPkX79%2Fc*b0&ranEAID=PPkX79%2Fc*b0&ranMID=39197&ranSiteID=PPkX79_c.b0-iSU_A16syDjRw8kFT7pWQg&couponCode=FREEPASSXX,3.4,66,Englisch,6.0,Marketing,Social-Media-Marketing,YouTube-Zielgruppe erweitern
42,Facebook Ads 101. Complete Facebook Ads & Marketing Course,https://www.udemy.com/course/facebook-ads-101-complete-facebook-ads-marketing-course/?couponCode=0C0DF19C2901F38DEC2C,4.0,170,Englisch,1.0,Marketing,Social-Media-Marketing,Facebook-Marketing
66,Podcast Storytelling Masterclass,https://www.udemy.com/course/how-to-start-podcast-storytelling/?couponCode=48AE9DD31CE04EF02C53,3.4,28,Englisch,1.5,Marketing,Social-Media-Marketing,Podcasts
72,"YouTube Millions 2020: Increase Profits, Subs, Views & Rank",https://www.udemy.com/course/youtubehacks/?couponCode=FREEPASSXX,3.4,66,Englisch,6.0,Marketing,Social-Media-Marketing,YouTube-Zielgruppe erweitern
7,SEO Training 2020 : Complete SEO Guide For Beginners,https://www.udemy.com/course/seo-training-2018-complete-seo-guide-for-beginners/?couponCode=VALENTINESEO2020,3.5,621,Englisch,2.0,Marketing,Suchmaschinenoptimierung,SEO
76,Youtube SEO Course :How TO Rank #1 On YouTube in 2020,https://www.udemy.com/course/youtube-seo-how-to-rank-no-1-on-youtube-in-2018/?couponCode=3A3CD3FD8CB82310C610,3.8,330,Englisch,2.0,Marketing,Suchmaschinenoptimierung,YouTube-Marketing
28,The Complete Video Production & Video Marketing Course 2020,https://www.udemy.com/course/complete-video-marketing-course/?couponCode=BEMOREHAPPY108,4.6,10,Englisch,12.5,Marketing,Video- & Mobile-Marketing,Videomarketing
32,Dinnertime Conversation on Bitcoin and Blockchain,https://www.udemy.com/course/dinnertime-conversation-on-bitcoin-and-blockchain/?couponCode=C94809F68D9C5A533A7E,4.5,50,Englisch,36.0,Persönliche Entwicklung,Persönliche Finanzen,Blockchain
52,Complete Python Bootcamp : Go Beginner to Expert in Python 3,https://www.udemy.com/course/complete-python-bootcamp-expert-course/?couponCode=AA1EB303602E8DE3E5FE,3.4,49,Englisch,4.5,Programmierung,Programmiersprachen,Python
60,Complete course of Java Server Pages (JSP) Programming,https://www.udemy.com/course/complete-course-of-java-server-pages-jsp-programming/?couponCode=51E410A338864DB080C8,4.3,11,Englisch,2.5,Programmierung,Programmiersprachen,JSP
61,Java Programming: Complete Beginner to Advanced,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/?couponCode=F63B95B2DCCB702C329D,4.3,726,Englisch,1.5,Programmierung,Programmiersprachen,Java
24,Learn Google Chrome,https://www.udemy.com/course/learn-google-chrome/?couponCode=TRY30FREE,3.8,87,Englisch,31.0,Programmierung,Programmierungstools,Chrome Developer Tools
29,Learn PowerShell,https://www.udemy.com/course/learn-powershell/?couponCode=TRY30FREE,3.4,84,Englisch,1.0,Programmierung,Sonstiges,PowerShell
2,Learn Advanced jQuery,https://www.udemy.com/course/the-learn-jquery-course/?couponCode=TRY30FREE,3.7,94,Englisch,1.5,Programmierung,Webentwicklung,jQuery
6,Learn Basic JavaScript,https://www.udemy.com/course/learn-basic-javascript/?couponCode=TRY30FREE,3.9,172,Englisch,1.5,Programmierung,Webentwicklung,JavaScript
11,Learn to Host Multiple Domains on one Virtual Server,https://www.udemy.com/course/learn-to-host-multiple-domains-on-one-virtual-server/?couponCode=A2AF3B4DF226F320F96F,4.4,83,Englisch,1.0,Programmierung,Webentwicklung,Server-Administration
15,Learn Advanced Bootstrap 4,https://www.udemy.com/course/learn-advanced-bootstrap-4/?couponCode=TRY30FREE,3.9,52,Englisch,2.5,Programmierung,Webentwicklung,Bootstrap
22,Learn Basic jQuery,https://www.udemy.com/course/learn-basic-jquery/?couponCode=TRY30FREE,4.2,54,Englisch,1.5,Programmierung,Webentwicklung,jQuery
27,Learn Advanced CSS3,https://www.udemy.com/course/the-complete-css-course/?couponCode=TRY30FREE,3.7,180,Englisch,1.5,Programmierung,Webentwicklung,CSS
33,Learn Basic SVG,https://www.udemy.com/course/learn-basic-svg/?couponCode=TRY30FREE,3.9,26,Englisch,1.0,Programmierung,Webentwicklung,SVG
43,Learn Domain Names,https://www.udemy.com/course/learn-domain-names/?couponCode=TRY30FREE,3.7,59,Englisch,34.0,Programmierung,Webentwicklung,Domainname
45,Learn Basic Bootstrap 4,https://www.udemy.com/course/learn-basic-bootstrap-4/?couponCode=TRY30FREE,4.1,66,Englisch,2.0,Programmierung,Webentwicklung,Bootstrap
46,Internet and Web Development Fundamentals,https://www.udemy.com/course/internet-and-web-development-fundamentals/?couponCode=DE5FB16E58BE82F6E53C,4.5,56,Englisch,4.0,Programmierung,Webentwicklung,Webentwicklung
47,Learn Basic GitHub,https://www.udemy.com/course/learn-basic-github/?couponCode=TRY30FREE,3.5,108,Englisch,1.0,Programmierung,Webentwicklung,GitHub
54,Learn Sublime Text 3,https://www.udemy.com/course/learn-sublime-text-3/?couponCode=TRY30FREE,4.0,64,Englisch,1.0,Programmierung,Webentwicklung,Sublime Text
67,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=6E1DB04FF9F17FCBB1A2,4.2,35,Englisch,2.5,Programmierung,Webentwicklung,AJAX
80,TOEFL vs. IELTS: Differences btw TOEFL & IELTS,https://www.udemy.com/course/toefl-vs-ielts-differences-btw-tests/?couponCode=2020FEB,4.0,401,Englisch,19.0,Wissenschaft & Lehre,Prüfungsvorbereitung,TOEFL
37,Excel para negocios: Básico hasta avanzado,https://www.udemy.com/course/excelparanegocios/?couponCode=507D5A5AC1A5F38928C5,4.1,664,Spanisch,2.5,Office-Produktivität,Microsoft,Excel
