,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
149,Umfassender MBA Kurs: Preisgekrönter Professor aus USA,https://www.udemy.com/course/vollstandiger-mba-in-einem-kurs-preisgekroenter-professor-haroun/?couponCode=CC69FB8127D8466DE13E,4.25,122,Deutsch,8 total Stunden,Business,Unternehmensgründung,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education (International Version) by Chris Haroun'}"
47,Microsoft Power BI - Up & Running With Power BI Desktop,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/?couponCode=FREE2020,4.63295,12582,English,11 total Stunden,Business,Daten & Analyse,,1 days 03:00:00.000000000,"{'Maven Analytics', 'Aaron Parry', 'Chris Dutton'}"
50,Microsoft Power BI - Publishing to Power BI Service,https://www.udemy.com/course/power-bi-service/?couponCode=FREE2020,4.56597,791,English,4 total Stunden,Business,Daten & Analyse,,1 days 03:00:00.000000000,"{'Maven Analytics', 'Aaron Parry'}"
62,Advanced SQL + MySQL for Analytics & Business Intelligence,https://www.udemy.com/course/advanced-sql-mysql-for-analytics-business-intelligence/?couponCode=FREE2020,4.62139,260,English,8 total Stunden,Business,Daten & Analyse,,1 days 03:00:00.000000000,"{'Maven Analytics', 'John Pauler'}"
2,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/course/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/?couponCode=06713E59189AA44873BA,4.23077,274,English,22 total Stunden,Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
12,Build Financial Models & Value Companies The Easy Way,https://www.udemy.com/course/build-basic-financial-models-valuation-companies-the-easy-way/?couponCode=1E70AEDA2EF4463805D1,3.94737,235,English,1 total Stunde,Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
49,The Complete Cryptocurrency Course: More than 5 Courses in 1,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/?couponCode=5FF3B48B5945265FE97F,4.56426,1574,English,24 total Stunden,Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
84,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/?couponCode=91E9A5EB20F90B06EB31,4.40219,11271,English,"4,5 total Stunden",Business,Finanzen,,1 days 07:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
112,"The Complete Personal Finance Course: Save,Protect,Make More",https://www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/?couponCode=B6608D9FFAF8AEA148AD,4.51635,3336,English,16 total Stunden,Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
117,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/?couponCode=931034DECC4870DC58AE,4.57143,1001,English,"8,5 total Stunden",Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
122,Venture Capital. What is it and Why it Matters to You!,https://www.udemy.com/course/venture-capital-sector-overview-what-is-it-and-why-it-matters-to-you/?couponCode=E646B1308F2592D9F19C,3.95,98,English,3 total Stunden,Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
158,The Complete Financial Analyst Training & Investing Course,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/?couponCode=C301356482DD054AC7A8,4.49059,12815,English,"22,5 total Stunden",Business,Finanzen,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
78,"Real Estate Investing: Foreclosures, Flipping Houses Profits",https://www.udemy.com/course/real-estate-investing-foreclosures/?couponCode=MARCH20REALESTATE,3.85417,86,English,2 total Stunden,Business,Immobilien,,1 days 11:00:00.000000000,"{'Jay Conner', 'Scott Alex', 'Scott Paton'}"
41,TED Talk Success: Be a Sought After TedX Speaker,https://www.udemy.com/course/ted-talk/?couponCode=MARCH19TEDTALK,4.04348,34,English,2 total Stunden,Business,Kommunikation,,0 days 13:00:00.000000000,"{'Nathan Eckel', 'Scott Alex', 'Scott Paton'}"
98,The Complete Presentation and Public Speaking/Speech Course,https://www.udemy.com/course/the-complete-presentation-and-public-speaking-speech-course/?couponCode=DFCA6DCE1791069A3812,4.3862,7101,English,16 total Stunden,Business,Kommunikation,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
104,Communication Skills at Workplace,https://www.udemy.com/course/communication-skills-at-workplace/?couponCode=MAR2020,4.09091,116,English,1 total Stunde,Business,Kommunikation,,1 days 00:00:00.000000000,{'Talent Zoom'}
39,How to Motivate Employees (So That Productivity Increases)!,https://www.udemy.com/course/how-to-motivate-employees-so-that-productivity-increases/?couponCode=D7697FFCDFE5EAA627A2,4.40306,521,English,"2,5 total Stunden",Business,Management,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
65,Get into the Top Business Schools + MBA Admissions Tips,https://www.udemy.com/course/get-into-the-top-business-schools-mba-admissions-secrets/?couponCode=F23139A6F0498E451296,4.32143,325,English,33 Min. gesamt,Business,Management,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
146,How to Manage by Delegating (So You Can Achieve Your Goals)!,https://www.udemy.com/course/how-to-manage-by-delegating-so-you-can-achieve-your-goals/?couponCode=67FBF671944A0B31F836,4.39286,295,English,1 total Stunde,Business,Management,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
92,Work From Home: The Amazon FBA MasterPlan,https://www.udemy.com/course/online-business-selling-simple-products-amazon/?couponCode=WFHTAFMMARFREE,4.5,2154,English,4 total Stunden,Business,Selbstständigkeit,,1 days 01:00:00.000000000,"{'Online Marketing Classroom', 'Tim Godfrey'}"
33,The Complete Business Plan Course (Includes 50 Templates),https://www.udemy.com/course/the-complete-business-plan-course/?couponCode=98D580CB2755925719D1,4.53854,2016,English,9 total Stunden,Business,Unternehmensgründung,,1 days 08:00:00.000000000,{'Chris Haroun'}
36,101 Crucial Lessons They Don't Teach You In Business School,https://www.udemy.com/course/101-crucial-lessons-they-dont-teach-you-in-business-mba-school/?couponCode=54A1ABF3C1024C793BC2,4.46927,1322,English,"4,5 total Stunden",Business,Unternehmensgründung,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
53,Intro to Accounting the Easy Way! Free Book Included!,https://www.udemy.com/course/business-school-basic-introduction-to-accounting-the-easy-way-mba/?couponCode=DD5DE54D0C73AD874022,4.575,94,English,"12,5 total Stunden",Business,Unternehmensgründung,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
72,Fundraising Advice from a Successful Venture Capitalist,https://www.udemy.com/course/fundraising-advice-from-a-successful-venture-capitalist/?couponCode=B6A693A9964CB77B0F59,4.5,239,English,"3,5 total Stunden",Business,Unternehmensgründung,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
80,An Entire MBA in 1 Course:Award Winning Business School Prof,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/?couponCode=B9E29787A419A28DCB31,4.46959,32033,English,"56,5 total Stunden",Business,Unternehmensgründung,,1 days 07:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
131,Intro to Business Law for Entrepreneurs (+Free Book!),https://www.udemy.com/course/introduction-to-business-law-for-entrepreneurs-mba-business-school/?couponCode=B79EDFBAD97B5BDB7FDB,4.6875,184,English,18 total Stunden,Business,Wirtschaftsrecht,,1 days 08:00:00.000000000,"{'Chris Haroun', 'Complete Business Education with Chris Haroun'}"
10,Learn Cinema 4D: Low Poly Tree,https://www.udemy.com/course/low-poly-art-create-an-abstract-tree/?couponCode=69B027485FF51CB8CF01,4.2,69,English,1 total Stunde,Design,3D & Animation,,2 days 20:00:00.000000000,{'Jonathan Lam'}
23,Complete Photoshop Course: Beginner To Expert!,https://www.udemy.com/course/complete-photoshop-course-beginner-to-expert/?couponCode=DISCUDEMY.COM,3.17647,20,English,34 Min. gesamt,Design,Designtools,,1 days 06:00:00.000000000,{'Muhammad Saju Ahmed'}
28,Five Fast Masking Tips in Photoshop CC,https://www.udemy.com/course/masking-photoshop/?couponCode=MARCH21FIVE,3.8,24,English,41 Min. gesamt,Design,Designtools,,2 days 12:00:00.000000000,"{'Nathan Segal', 'Scott Alex', 'Scott Paton'}"
83,Photo Editing With Free Software,https://www.udemy.com/course/photo-editing-with-free-software/?couponCode=46C0814AD7B1B19A2CD3,3.61765,31,English,3 total Stunden,Design,Grafikdesign,,1 days 01:00:00.000000000,{'Phillip Dillow'}
54,Mastering Adobe Lightroom: Complete Photo/Image Editing,https://www.udemy.com/course/mastering-adobe-lightroom/?couponCode=FREELIGHTROOM,4.4,52,English,1 total Stunde,Fotografie,Fotografietools,,2 days 19:00:00.000000000,{'Creative Online School'}
129,Documentary Filmmaking Step by Step,https://www.udemy.com/course/documentary-filmmaking-step-by-step/?couponCode=COVID19,4.22642,343,English,5 total Stunden,Fotografie,Videodesign,,0 days 02:00:00.000000000,{'Adam Bhala Lough'}
161,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=GIVING_IT_AWAY2020,4.37692,687,English,"5,5 total Stunden",Fotografie,Videodesign,,2 days 15:00:00.000000000,{'Brad Newton'}
