,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
37,development دورة شاملة في الوردبرس,https://www.udemy.com/course/wordpressdeveloper/?couponCode=FREEAR,3.4,Programmierung,Webentwicklung,WordPress,Arabisch,92.0
47,Basic Bookkeeping Hacks,https://www.udemy.com/course/basic-bookkeeping/?couponCode=EAA7B1C697EC63217A3A,3.5,Business,Finanzen,Buchhaltung,Englisch,56.0
52,Save on Your Taxes,https://www.udemy.com/course/save-on-your-taxes/?couponCode=EA50BBCF78CB0A6ECE3F,3.9,Business,Finanzen,Steuererklärung,Englisch,33.0
57,Forex Trading: The Complete Guide for Beginners,https://www.udemy.com/course/success-forex/?couponCode=SUPERPROMO45F,3.9,Business,Finanzen,Devisenmarkt,Englisch,83.0
84,Vocal Presentation Skills From Hollywood Legends,https://www.udemy.com/course/vocal-presentation-skills-from-broadcasters-hollywood-legends/?couponCode=696FFF1A1E7CB3649B04,3.9,Business,Kommunikation,Singen,Englisch,34.0
76,The Complete Udemy Instructor Mastermind [Unofficial Course],https://www.udemy.com/course/the-complete-udemy-instructor-mastermind-unofficial-course/?couponCode=061F7BF8E16B07D44537,4.6,Business,Medien,Online-Kurs-Erstellung,Englisch,10.0
69,Scrum Master Training : Case Studies and Confessions,https://www.udemy.com/course/scrum-case-studies/?couponCode=120220_FREE,4.1,Business,Projektmanagement,Scrum,Englisch,892.0
29,Get the EFT Edge for Negotiating,https://www.udemy.com/course/eft-negotiation-success/?couponCode=065A2DA3BA771C112C6F,4.3,Business,Strategie,Verhandlungsführung,Englisch,23.0
4,Outsource Mastery: How To Earn More Money By Doing Less Work,https://www.udemy.com/course/outsource-mastery/?couponCode=FEBFREEOUTSOURCE,4.2,Business,Unternehmensgründung,Outsourcing,Englisch,35.0
68,The Complete Adobe After Effects CC Master Class Course,https://www.udemy.com/course/aftereffectsmasterclass/?couponCode=FREELIMITED,4.3,Design,3D & Animation,Visuelle Effekte (VFX),Englisch,68.0
83,3D Animation Film-Making with Plotagon: Ultra-Speed 2020,https://www.udemy.com/course/ultra-speed-3d-animation-film-making-with-plotagon/?couponCode=1FA40E18F0F4470D1118,3.4,Design,3D & Animation,3D-Animation,Englisch,146.0
49,Speed Up! How To Work With Photoshop Hotkeys,https://www.udemy.com/course/speed-up-how-to-work-with-photoshop-hotkeys/?couponCode=SUPERPROMO45F,4.0,Design,Designtools,Photoshop,Englisch,17.0
2,Learn Video Design with Photoshop 2020,https://www.udemy.com/course/learn-video-design-with-photoshop-2020/?couponCode=TRY11FREE,3.5,Design,Grafikdesign,Grafikdesign,Englisch,25.0
