,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
68,development دورة شاملة في الوردبرس,https://www.udemy.com/course/wordpressdeveloper/?couponCode=FREEAR,3.9,Programmierung,Webentwicklung,WordPress,Arabisch,88.0
39,Forex Trading: The Complete Guide for Beginners,https://www.udemy.com/course/success-forex/?couponCode=SUPERPROMO45F,3.9,Business,Finanzen,Devisenmarkt,Englisch,80.0
64,Vocal Presentation Skills From Hollywood Legends,https://www.udemy.com/course/vocal-presentation-skills-from-broadcasters-hollywood-legends/?couponCode=696FFF1A1E7CB3649B04,3.6,Business,Kommunikation,Singen,Englisch,34.0
11,2020/1:College level Business Certificate/Fundamentals,https://www.udemy.com/course/egg-timer-igcse-business-studies/?couponCode=EYASSALEM7,4.5,Business,Management,Business (Grundlagen),Englisch,8.0
40,The Complete Udemy Instructor Mastermind [Unofficial Course],https://www.udemy.com/course/the-complete-udemy-instructor-mastermind-unofficial-course/?couponCode=061F7BF8E16B07D44537,4.6,Business,Medien,Online-Kurs-Erstellung,Englisch,10.0
21,Get the EFT Edge for Negotiating,https://www.udemy.com/course/eft-negotiation-success/?couponCode=065A2DA3BA771C112C6F,4.3,Business,Strategie,Verhandlungsführung,Englisch,23.0
6,Outsource Mastery: How To Earn More Money By Doing Less Work,https://www.udemy.com/course/outsource-mastery/?couponCode=FEBFREEOUTSOURCE,4.2,Business,Unternehmensgründung,Outsourcing,Englisch,34.0
72,Learn 3DS Max: Low Poly Sword,https://www.udemy.com/course/low-poly-sword/?couponCode=9DDD7E909A28EB69F12A,4.2,Design,3D & Animation,3ds Max,Englisch,42.0
76,The Complete Adobe After Effects CC Master Class Course,https://www.udemy.com/course/aftereffectsmasterclass/?couponCode=FREELIMITED,4.4,Design,3D & Animation,Visuelle Effekte (VFX),Englisch,66.0
16,Speed Up! How To Work With Photoshop Hotkeys,https://www.udemy.com/course/speed-up-how-to-work-with-photoshop-hotkeys/?couponCode=SUPERPROMO45F,4.0,Design,Designtools,Photoshop,Englisch,16.0
14,Learn Graphic Design with Photoshop 2020,https://www.udemy.com/course/learn-graphic-design-with-photoshop-2020/?couponCode=TRY11FREE,3.4,Design,Grafikdesign,Grafikdesign,Englisch,53.0
56,Learn Video Design with Photoshop 2020,https://www.udemy.com/course/learn-video-design-with-photoshop-2020/?couponCode=TRY11FREE,3.4,Design,Grafikdesign,Grafikdesign,Englisch,24.0
35,Create your own virtual 3D events in VR in 2020,https://www.udemy.com/course/create-your-own-virtual-3d-events-in-vr/?couponCode=A2098D5D39B91ED6073D,3.2,Design,Sonstiges,Virtuelle Realität,Englisch,37.0
63,Learn Mobile Design with Photoshop 2020,https://www.udemy.com/course/learn-mobile-design-with-photoshop-2020/?couponCode=TRY11FREE,3.7,Design,Webdesign,Webdesign,Englisch,14.0
2,Anti-aging - a unique course - ideal for 2020.,https://www.udemy.com/course/living-as-old-as-your-grandfather/?couponCode=EYASSALEM1,4.6,Gesundheit & Fitness,Allgemeine Gesundheit,Gesundheit,Englisch,7.0
