,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
7,Using drama as therapy for depression relief and recovery,https://www.udemy.com/course/cinema-theatre-depression-2/?couponCode=EYASSALEM4,4.3,Gesundheit & Fitness,Mentale Gesundheit,Depressionen lindern/heilen,Englisch,15.0
18,2020s:Depression - understand...overcome. (+ Oxford Diploma),https://www.udemy.com/course/cinema-theatre-depression/?couponCode=EYASBONUSFEB,4.4,Gesundheit & Fitness,Mentale Gesundheit,Kinematografie,Englisch,43.0
58,Hacking POS & Credit Cards: Techniques and Countermeasures,https://www.udemy.com/course/hacking-pos-credit-cards-techniques-and-countermeasures/?couponCode=CCWELCOME,3.7,IT & Software,Netzwerk & Sicherheit,,Englisch,15.0
0,Expand Your Marketing Reach Without Writing a Word,https://www.udemy.com/course/affiliate-marketing-facebook/?couponCode=5F8D805E426230853F68,3.2,Marketing,Content-Marketing,Marketingstrategie,Englisch,51.0
31,How To Create High-Quality Blog Content That Gets Shared,https://www.udemy.com/course/how-to-create-high-quality-blog-content-that-gets-shared/?couponCode=SUPERPROMO45F,4.2,Marketing,Content-Marketing,Bloggen,Englisch,231.0
10,Get Started Online With No Investment - Newbie Friendly,https://www.udemy.com/course/free-traffic-online/?couponCode=SUPERPROMO45F,3.7,Marketing,Digitales Marketing,Internet-Marketing,Englisch,30.0
59,Facebook Dynamic Ads (Facebook Dynamic Retargeting) MASTERY,https://www.udemy.com/course/facebook-dynamic-ads/?couponCode=DIAMONDHAPPINESS,4.7,Marketing,Digitales Marketing,Retargeting,Englisch,39.0
8,Entrepreneur's Guide to Effective Design of a Fan Page,https://www.udemy.com/course/fan-page/?couponCode=SUPERPROMO45F,4.6,Marketing,Social-Media-Marketing,Facebook-Marketing,Englisch,29.0
12,Podcast Power Breathing Masterclass,https://www.udemy.com/course/learn-to-podcast-using-your-breath/?couponCode=F1A4B4802CBB8857AAF4,4.1,Marketing,Social-Media-Marketing,Podcasts,Englisch,26.0
42,Facebook Marketing: Advanced Targeting Strategies,https://www.udemy.com/course/facebook-marketing-advanced-targeting-strategies/?couponCode=SUPERPROMO45F,4.1,Marketing,Social-Media-Marketing,Facebook-Marketing,Englisch,661.0
45,SEO 2020: Training with SEO Expert for Beginners,https://www.udemy.com/course/seo-training-with-seo-expert-for-beginners/?couponCode=C8B62BA6732ACB09385C,4.2,Marketing,Suchmaschinenoptimierung,SEO,Englisch,85.0
66,Stop Being Tone-Deaf - Singing On Pitch,https://www.udemy.com/course/stop-being-tone-deaf/?couponCode=D68F550F774959DCAA14,4.5,Musik,Gesang,Singen,Englisch,8.0
26,Secrets Of Psychology - Why People Do The Things They Do,https://www.udemy.com/course/secrets-of-psychology/?couponCode=SUPERPROMO45F,4.4,Persönliche Entwicklung,Glücklich leben,Psychologie,Englisch,115.0
61,Enjoy life in the 2020s - the true anti-aging strategy,https://www.udemy.com/course/coping-with-old-age/?couponCode=EYASSALEM8,4.2,Persönliche Entwicklung,Glücklich leben,Persönliche Entwicklung,Englisch,49.0
47,First Steps Into Critical Thinking,https://www.udemy.com/course/critical-thinking-in-the-workplace/?couponCode=FEB2020,4.1,Persönliche Entwicklung,Karriereentwicklung,Kritisches Denken,Englisch,51.0
70,Become a New Trainer: Improve Your Trainer Skills,https://www.udemy.com/course/become-a-new-trainer/?couponCode=FEB2020,3.9,Persönliche Entwicklung,Karriereentwicklung,Trainer-Fortbildung,Englisch,13.0
30,Innovation 2020: Learn To Think Creatively Like Walt Disney,https://www.udemy.com/course/learn-to-think-creatively-like-walt-disney/?couponCode=A1022D9D92D98EAD7947,3.7,Persönliche Entwicklung,Kreativität,Kreativität,Englisch,128.0
4,Lambda with Functional Programming in Java8,https://www.udemy.com/course/lambda-with-functional-programming-in-java/?couponCode=FREEFOR3DAYS,3.8,Programmierung,Programmiersprachen,Java,Englisch,30.0
5,Learn Photoshop Extensions,https://www.udemy.com/course/learn-photoshop-extensions/?couponCode=TRY11FREE,3.4,Programmierung,Sonstiges,Photoshop,Englisch,8.0
9,Web Development 2020 Learn Frontend and Build Apple Website,https://www.udemy.com/course/learn-html-and-css-2020-build-apple-website-by-your-own/?couponCode=FREEFREE,4.7,Programmierung,Webentwicklung,Webentwicklung,Englisch,7.0
22,CSS & JavaScript - Certification Course for Beginners,https://www.udemy.com/course/css-javascript-certification-course-for-beginners/?couponCode=35BC3C059B03D312A9D2,4.2,Programmierung,Webentwicklung,JavaScript,Englisch,59.0
32,WP Plugin Development - Build your own plugin!,https://www.udemy.com/course/wp-plugin-development-build-your-own-plugin/?couponCode=SUPERPROMO45F,3.9,Programmierung,Webentwicklung,WordPress,Englisch,151.0
50,How to Install a Free SSL Certificate using Let's Encrypt,https://www.udemy.com/course/fix-googles-new-not-secure-warning-with-lets-encrypt/?couponCode=6A5707F80BE46626E6FF,4.1,Programmierung,Webentwicklung,Let's Encrypt,Englisch,123.0
67,JavaScript & jQuery - Certification Course for Beginners,https://www.udemy.com/course/javascript-jquery-certification-course-for-beginners/?couponCode=E06FDBE02B6D04144E56,3.8,Programmierung,Webentwicklung,jQuery,Englisch,79.0
27,Podcast in The Classroom - Kindergarten to High School,https://www.udemy.com/course/learn-to-podcast-in-the-classroom/?couponCode=D155428E159FD2A35A5C,5.0,Wissenschaft & Lehre,Lehrausbildung,Podcasts,Englisch,17.0
33,How To Create An Online Course That Sells,https://www.udemy.com/course/how-to-create-an-online-course-that-sells/?couponCode=SUPERPROMO45F,4.4,Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,Englisch,156.0
28,Express GRE 320+ Preparation Formula,https://www.udemy.com/course/express-gre-preparation/?couponCode=FEB2020,3.5,Wissenschaft & Lehre,Prüfungsvorbereitung,GRE,Englisch,29.0
1,2020/1: University entry level - Advanced Business,https://www.udemy.com/course/egg-timer-business-studies/?couponCode=EYASSALEM6,4.7,Wissenschaft & Lehre,Sozialwissenschaften,Business (Grundlagen),Englisch,17.0
77,STOCKDETECTOR - Impara ad investire in Azioni,https://www.udemy.com/course/stockdetector-impara-ad-investire-in-azioni/?couponCode=A1D1541509B26EA2AEF7,4.3,Business,Finanzen,Finanzen (Grundlagen),Italienisch,9.0
