,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
3,Learn Basic HTML5,https://www.udemy.com/course/learn-basic-html5/?couponCode=TRY30FREE,4.1,Programmierung,Webentwicklung,HTML5,Englisch,231.0
4,Learn Basic jQuery,https://www.udemy.com/course/learn-basic-jquery/?couponCode=TRY30FREE,4.2,Programmierung,Webentwicklung,jQuery,Englisch,54.0
12,Learn Advanced SVG,https://www.udemy.com/course/learn-advanced-svg/?couponCode=TRY30FREE,3.6,Programmierung,Webentwicklung,SVG,Englisch,19.0
13,How to Install a Free SSL Certificate using Let's Encrypt,https://www.udemy.com/course/fix-googles-new-not-secure-warning-with-lets-encrypt/?couponCode=6A5707F80BE46626E6FF,4.2,Programmierung,Webentwicklung,Let's Encrypt,Englisch,127.0
14,Learn Advanced Bootstrap 4,https://www.udemy.com/course/learn-advanced-bootstrap-4/?couponCode=TRY30FREE,3.9,Programmierung,Webentwicklung,Bootstrap,Englisch,51.0
15,Learn Advanced JavaScript,https://www.udemy.com/course/the-learn-javascript-course/?couponCode=TRY30FREE,3.6,Programmierung,Webentwicklung,JavaScript,Englisch,194.0
18,Learn to Host Multiple Domains on one Virtual Server,https://www.udemy.com/course/learn-to-host-multiple-domains-on-one-virtual-server/?couponCode=A2AF3B4DF226F320F96F,4.4,Programmierung,Webentwicklung,Server-Administration,Englisch,83.0
21,Learn Basic SVG,https://www.udemy.com/course/learn-basic-svg/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,SVG,Englisch,25.0
27,PHP & MySQL - Certification Course for Beginners,https://www.udemy.com/course/php-mysql-certification-course-for-beginners/?couponCode=5A20DA3F640BCFBED936,4.2,Programmierung,Webentwicklung,PHP,Englisch,166.0
28,Learn Basic GitHub,https://www.udemy.com/course/learn-basic-github/?couponCode=TRY30FREE,3.5,Programmierung,Webentwicklung,GitHub,Englisch,105.0
41,Learn Sublime Text 3,https://www.udemy.com/course/learn-sublime-text-3/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,Sublime Text,Englisch,64.0
46,Learn Domain Names,https://www.udemy.com/course/learn-domain-names/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Domainname,Englisch,59.0
47,Learn Google Fonts,https://www.udemy.com/course/learn-google-fonts/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,Schrift-Design,Englisch,29.0
51,Learn Advanced HTML5,https://www.udemy.com/course/the-complete-html-5-course-from-scratch/?couponCode=TRY30FREE,3.9,Programmierung,Webentwicklung,HTML5,Englisch,682.0
53,Front End Web Development For Beginners (A Practical Guide),https://www.udemy.com/course/learn-front-end-development/?couponCode=TRY30FREE,4.1,Programmierung,Webentwicklung,Front-End-Webentwicklung,Englisch,974.0
54,Learn Advanced jQuery,https://www.udemy.com/course/the-learn-jquery-course/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,jQuery,Englisch,94.0
55,Learn Advanced CSS3,https://www.udemy.com/course/the-complete-css-course/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,CSS,Englisch,180.0
63,"Install NGINX, PHP, MySQL, SSL & WordPress on Ubuntu 18.04",https://www.udemy.com/course/install-nginx-php-mysql-ssl-wordpress-on-ubuntu/?couponCode=810F22226CE4A3FBCB80,4.3,Programmierung,Webentwicklung,NGINX,Englisch,101.0
73,Learn Basic Bootstrap 4,https://www.udemy.com/course/learn-basic-bootstrap-4/?couponCode=TRY30FREE,4.1,Programmierung,Webentwicklung,Bootstrap,Englisch,65.0
20,Understanding the GMAT: Introduction Course,https://www.udemy.com/course/understanding-the-gmat-introduction/?couponCode=2020FEB,3.7,Wissenschaft & Lehre,Prüfungsvorbereitung,GMAT,Englisch,194.0
31,TOEFL vs. IELTS: Differences btw TOEFL & IELTS,https://www.udemy.com/course/toefl-vs-ielts-differences-btw-tests/?couponCode=2020FEB,4.0,Wissenschaft & Lehre,Prüfungsvorbereitung,TOEFL,Englisch,400.0
32,roipins - Yabancı Siteler Kurarak Kazanç Elde Etme Kiti,https://www.udemy.com/course/roipins-ucg/?couponCode=57947853A0C3BF9FA583,3.8,Marketing,Sonstiges,WordPress,Türkisch,45.0
