,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
36,Basic Bookkeeping Hacks,https://www.udemy.com/course/basic-bookkeeping/?couponCode=EAA7B1C697EC63217A3A,3.7,Business,Finanzen,Buchhaltung,Englisch,58.0
58,Vocal Presentation Skills From Hollywood Legends,https://www.udemy.com/course/vocal-presentation-skills-from-broadcasters-hollywood-legends/?couponCode=696FFF1A1E7CB3649B04,3.9,Business,Kommunikation,Singen,Englisch,34.0
6,The Complete Udemy Instructor Mastermind [Unofficial Course],https://www.udemy.com/course/the-complete-udemy-instructor-mastermind-unofficial-course/?couponCode=061F7BF8E16B07D44537,4.6,Business,Medien,Online-Kurs-Erstellung,Englisch,10.0
1,Accelerate your Career,https://www.udemy.com/course/accelerate-your-career/?couponCode=A7C99D5F24C4BB4DB3E6,3.2,Business,Personalwesen,Karriereentwicklung,Englisch,10.0
61,Scrum Master Training : Case Studies and Confessions,https://www.udemy.com/course/scrum-case-studies/?couponCode=120220_FREE,4.1,Business,Projektmanagement,Scrum,Englisch,892.0
25,Real Fast Podcast into Best Selling Kindle Books Easily,https://www.udemy.com/course/learn-to-make-podcasts-into-kindle-books/?couponCode=0C0B3A86C0A9A4ACC592,4.8,Business,Unternehmensgründung,Podcasts,Englisch,32.0
62,Fiverr: How To Start Freelancing Career With Fiverr,https://www.udemy.com/course/fiverr-start-freelancing-become-a-top-rated-fiverr-seller-on-fiverr/?couponCode=66F3F399C2B8720C653B,4.3,Business,Unternehmensgründung,Fiverr,Englisch,146.0
23,GIMP Advanced Graphic Design: Free 3D Book and eBook Covers,https://www.udemy.com/course/gimp-advanced/?couponCode=1E12B6B5802EFE7C47C8,4.3,Design,Designtools,GIMP,Englisch,53.0
76,Learn Illustrator CC: Create Simple Flat Vector Characters,https://www.udemy.com/course/simple-flat-vector-characters/?couponCode=4C32613C45210EE32A8D,4.4,Design,Grafikdesign,Adobe Illustrator,Englisch,270.0
52,"Superfoods, Herbalism, Nutrition Basics and Your Health",https://www.udemy.com/course/superfoods/?couponCode=21FC9223B6B1FE4BD563,4.2,Gesundheit & Fitness,Ernährung,Ernährung,Englisch,113.0
0,The Beginners Guide to Cyber Security 2020,https://www.udemy.com/course/the-beginners-guide-to-cyber-security-2019/?couponCode=VALENTINEDAY2020,4.2,IT & Software,Netzwerk & Sicherheit,Cyber-Sicherheit,Englisch,274.0
5,ClickBank Affiliate Marketing Secrets Home Business Success,https://www.udemy.com/course/clickbank-affiliate-marketing-secrets-home-business-success/?couponCode=799E65607C7E970D1BC1,4.1,Marketing,Affiliate-Marketing,Affiliate-Marketing,Englisch,76.0
56,Artificial Intelligence In Digital Marketing,https://www.udemy.com/course/artificial-intelligence-in-digital-marketing-skills/?couponCode=2D82B9DDBA657BA550BA,3.9,Marketing,Digitales Marketing,Digitales Marketing,Englisch,52.0
7,Podcast Pacing For Audience Engagement,https://www.udemy.com/course/learn-podcast-pacing/?couponCode=3F0C5C9125A717C71D2E,4.3,Marketing,Social-Media-Marketing,Podcasts,Englisch,22.0
39,Facebook Ads 101. Complete Facebook Ads & Marketing Course,https://www.udemy.com/course/facebook-ads-101-complete-facebook-ads-marketing-course/?couponCode=0C0DF19C2901F38DEC2C,4.1,Marketing,Social-Media-Marketing,Facebook-Marketing,Englisch,167.0
44,Podcast Power Breathing Masterclass,https://www.udemy.com/course/learn-to-podcast-using-your-breath/?couponCode=F1A4B4802CBB8857AAF4,4.0,Marketing,Social-Media-Marketing,Podcasts,Englisch,27.0
70,Facebook Social Media Sales Success,https://www.udemy.com/course/facebook-social-media/?couponCode=6FC401A7CECCD4A47A6A,3.8,Marketing,Social-Media-Marketing,Social-Media-Marketing,Englisch,176.0
26,Youtube SEO Course :How TO Rank #1 On YouTube in 2020,https://www.udemy.com/course/youtube-seo-how-to-rank-no-1-on-youtube-in-2018/?couponCode=3A3CD3FD8CB82310C610,3.8,Marketing,Suchmaschinenoptimierung,YouTube-Marketing,Englisch,329.0
9,Learn Google Drive From Beginner to Advanced,https://www.udemy.com/course/learn-google-drive-from-beginner-to-advanced/?couponCode=TRY30FREE,3.8,Office-Produktivität,Google,Google Drive,Englisch,172.0
29,Learn Gmail,https://www.udemy.com/course/gmail-productivity/?couponCode=TRY30FREE,4.1,Office-Produktivität,Google,Gmail-Produktivität,Englisch,111.0
65,Dinnertime Conversation on Bitcoin and Blockchain,https://www.udemy.com/course/dinnertime-conversation-on-bitcoin-and-blockchain/?couponCode=C94809F68D9C5A533A7E,4.6,Persönliche Entwicklung,Persönliche Finanzen,Blockchain,Englisch,49.0
49,Java Programming: Complete Beginner to Advanced,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/?couponCode=F63B95B2DCCB702C329D,4.3,Programmierung,Programmiersprachen,Java,Englisch,721.0
37,Learn Google Chrome,https://www.udemy.com/course/learn-google-chrome/?couponCode=TRY30FREE,3.8,Programmierung,Programmierungstools,Chrome Developer Tools,Englisch,86.0
2,Learn Git Bash,https://www.udemy.com/course/learn-git-bash/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Git,Englisch,130.0
