,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
31,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=MARCH20FREE,4.25,48,English,"4,5 total Stunden",Business,Daten & Analyse,,0 days 03:00:00.000000000,{'Start-Tech Academy'}
100,First Steps in Business Writing,https://www.udemy.com/course/first-steps-in-business-writing/?couponCode=MAR2020,4.11111,21,English,1 total Stunde,Business,Kommunikation,,2 days 03:00:00.000000000,{'Talent Zoom'}
0,How to Find The Perfect Virtual Assistant For Your Business,https://www.udemy.com/course/find-perfect-virtual-assistants-for-your-business/?couponCode=MARCH18HOWTOFIND,4.1,19,English,1 total Stunde,Business,Personalwesen,,2 days 15:00:00.000000000,"{'Scott Paton', 'Le-an Lai Lacaba', 'Scott Alex'}"
99,Grow your business Globally through channel partners,https://www.udemy.com/course/grow-business-through-channel/?couponCode=FBBF30680A1C47B35B45,4.4,16,English,"1,5 total Stunden",Business,Strategie,,2 days 04:00:00.000000000,{'Ahmed Tolba'}
83,An Entire MBA in 1 Course:Award Winning Business School Prof,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/?couponCode=355ED8C977B7A0440716,4.46127,31456,English,"56,5 total Stunden",Business,Unternehmensgründung,,1 days 09:00:00.000000000,"{'Complete Business Education with Chris Haroun', 'Chris Haroun'}"
65,Blender 2.8 Complete Beginners Guide to 3D Modelling a Scene,https://www.udemy.com/course/blender-28-complete-beginners-guide-to-3d-modelling-a-scene/?couponCode=3DTUDORMAR,4.2561,165,English,21 total Stunden,Design,3D & Animation,,1 days 22:00:00.000000000,{'Neil Bettison'}
19,Inkscape tutorial : From Zero To Design Hero,https://www.udemy.com/course/inkscape-tutorial-from-zero-to-design-hero/?couponCode=867D066BC22A1C8F57F6,3.94737,19,English,2 total Stunden,Design,Designtools,,2 days 13:00:00.000000000,{'Marta Rey'}
55,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=MARCHSW2020,3.65854,42,English,1 total Stunde,Finanzen & Rechnungswesen,Investition & Trading,,2 days 06:00:00.000000000,{'Alex Rodolitz'}
26,Complete Photography Course for Beginners : 9 Courses in 1,https://www.udemy.com/course/complete-photography-course/?couponCode=COMPLETEPHOTO,3.51562,274,English,2 total Stunden,Fotografie,Fotografiegrundlagen,,1 days 23:00:00.000000000,{'Creative Online School'}
32,Sell Photo Online: Step by Step Guideline Stock Photography,https://www.udemy.com/course/mastering-stock-photography-step-by-step-guideline/?couponCode=STOCKPHOTOGRAPHY,3.29167,280,English,1 total Stunde,Fotografie,Gewerbliche Fotografie,,0 days 18:00:00.000000000,{'Creative Online School'}
51,Earn from Photography: A Step By Step Guideline,https://www.udemy.com/course/earn-from-photography-complete-guideline/?couponCode=FREEPHOTOGRAPHY2020,3.5,50,English,"1,5 total Stunden",Fotografie,Gewerbliche Fotografie,,1 days 19:00:00.000000000,{'Creative Online School'}
56,Super way to Learn Arduino | Creative,https://www.udemy.com/course/super-way-to-learn-arduino-creative/?couponCode=MARCH1FLASH,4.10714,55,English,2 total Stunden,IT & Software,Hardware,,2 days 00:00:00.000000000,{'Mohammed Zaid'}
8,Google's - Professional Cloud Architect Certification 2020 !,https://www.udemy.com/course/google-cloud-architect-certifications/?couponCode=MAR10FREE,3.84429,2025,English,"23,5 total Stunden",IT & Software,IT-Zertifizierung,,0 days 10:00:00.000000000,{'Google Cloud Platform Gurus !'}
68,Ultimate Associate Cloud Engineer - Google Certified 2019,https://www.udemy.com/course/google-cloud-associate-cloud-engineer-certification/?couponCode=MAR10FREE,4.05344,1217,English,"22,5 total Stunden",IT & Software,IT-Zertifizierung,,1 days 15:00:00.000000000,{'Google Cloud Platform Gurus !'}
