,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
30,E-Mails schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/the-basics-of-cyber-security-2020/?couponCode=372F9E3ADFA46D491E90,4.25,14,Deutsch,1 total Stunde,Business,Kommunikation,,2 days 06:00:00.000000000,{'Susanne Knaller'}
58,Dauerhafter Erfolg als Führungskraft - inkl. Shortbook,https://www.udemy.com/course/the-macroeconomics-course-2020/?couponCode=F9CBFF414A2AEF330D93,4.0,19,Deutsch,35 Min. gesamt,Business,Management,,2 days 05:00:00.000000000,{'Susanne Knaller'}
8,Statistics with R - Beginner Level,https://www.udemy.com/course/statistics-with-r-beginner-level/?couponCode=RSTATSQUICK3D,4.24468,943,English,3 total Stunden,Business,Daten & Analyse,,1 days 21:00:00.000000000,{'Bogdan Anastasiei'}
20,Profitable Forex with Risk Control,https://www.udemy.com/course/profitable-forex-with-risk-control/?couponCode=FACEBOOK,3.2,134,English,"1,5 total Stunden",Business,Finanzen,,2 days 17:00:00.000000000,{'Juri Fab'}
35,GET on TOP of Real Estate Business with Facebook Ads in 2020,https://www.udemy.com/course/curso-de-html-introduccion-completa-a-html-y-html-5/?couponCode=E8B3B231F328A8F3F8AF,4.1,12,English,23 total Stunden,Business,Immobilien,,1 days 23:00:00.000000000,"{'SEO, Facebook Ads & Digital Marketing Academy', 'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert'}"
88,Become a Professional Receptionist,https://www.udemy.com/course/orthogonal-array-testing/?couponCode=HANDWASH,3.75,18,English,6 total Stunden,Business,Kommunikation,,1 days 23:00:00.000000000,{'Global Corporate Academy'}
56,How To Start and Grow A Successful Clothing Brand Business,https://www.udemy.com/course/kpsscikmissorular/?couponCode=KPSS3GUN,4.5,10,English,"2,5 total Stunden",Business,Unternehmensgründung,,2 days 03:00:00.000000000,{'Toby Cannon'}
21,Dropshipping Amazon To Ebay Easiest Way To Make Money Online,https://www.udemy.com/course/dropshipping-amazon-to-ebay-easiest-way-to-make-money-2019/?couponCode=CORONAVIRUS2,3.28125,21,English,2 total Stunden,Business,Verkauf/Vertrieb,,0 days 23:00:00.000000000,{'El Hamim Abderrahmane'}
82,Blender 3D Model a Medieval Catapult Full simulation Guide,https://www.udemy.com/course/onboarding-neuer-mitarbeiter/?couponCode=STAYATHOME,4.26786,33,English,13 total Stunden,Design,3D & Animation,,0 days 05:00:00.000000000,{'Neil Bettison'}
4,Complete course in AutoCAD 2020 : 2D and 3D,https://www.udemy.com/course/autocad-2020-for-designers-a-problem-solving-approach/?couponCode=STAYSAFE,3.86842,65,English,"16,5 total Stunden",Design,Designtools,,0 days 23:00:00.000000000,{'CADCIM Technologies'}
60,Autodesk AutoCAD Civil 3D: For Engineers and Designers,https://www.udemy.com/course/carb-cycling-weight-loss-diet-nutrition/?couponCode=FREECOUPON,3.84,25,English,8 total Stunden,Design,Designtools,,0 days 23:00:00.000000000,{'CADCIM Technologies'}
45,The Ultimate Photoshop & Graphic Design Course ! 2020,https://www.udemy.com/course/depression-anxiety-course-training/?couponCode=65SUPERPROMO02,3.85366,64,English,"2,5 total Stunden",Design,Grafikdesign,,0 days 01:00:00.000000000,{'Houssem Nmiri'}
66,AWS Certified Cloud Practitioner in 5 hours,https://www.udemy.com/course/microsoft-excel-advanced-functions-with-index-and-match/?couponCode=LEVELUP2020,4.53704,35,English,5 total Stunden,IT & Software,IT-Zertifizierung,,1 days 02:00:00.000000000,"{'Abdelrhman Moussa', 'Ahmed Alkabary'}"
29,The Basics of Cyber Security 2020,https://www.udemy.com/course/develop-programming-skills-with-java/?couponCode=CC419B6CBDABA7787EA5,4.06944,39,English,1 total Stunde,IT & Software,Netzwerk & Sicherheit,,0 days 03:00:00.000000000,{'Faisal Ammari'}
87,Orthogonal Array Testing,https://www.udemy.com/course/complete-microsoft-excel-course-zero-to-hero-f/?couponCode=DISCUDEMY.COM,3.97727,22,English,38 Min. gesamt,IT & Software,Sonstiges,,1 days 23:00:00.000000000,{'Narayanan Palani'}
5,Digital Nomad Travel: Moving to Colombia Long Term,https://www.udemy.com/course/digital-nomad-travel-colombia/?couponCode=MARCH22NOMAD,4.05,28,English,1 total Stunde,Lifestyle,Reisen,,0 days 11:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Greggo Amos'}"
90,Facebook Dynamic Ads (Facebook Dynamic Retargeting) MASTERY,https://www.udemy.com/course/moneyinvestingsystemblueprint/?couponCode=VINOVENTFEB20,4.8,46,English,8 total Stunden,Marketing,Digitales Marketing,,1 days 21:00:00.000000000,"{'SEO, Facebook Ads & Digital Marketing Academy', 'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert'}"
