,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
51,Excel Analytics: Linear Regression Analysis in MS Excel,https://www.udemy.com/course/predictive-regression-modelling-in-microsoft-excel/?couponCode=HOLI2020,4.61364,84,English,"2,5 total Stunden",Business,Daten & Analyse,,0 days 01:00:00.000000000,{'Start-Tech Academy'}
58,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=HOLI2020,4.28261,40,English,"4,5 total Stunden",Business,Daten & Analyse,,0 days 00:00:00.000000000,{'Start-Tech Academy'}
84,"Decision Trees, Random Forests, AdaBoost & XGBoost in R",https://www.udemy.com/course/machine-learning-advanced-decision-trees-in-r/?couponCode=HOLIHAI,4.2,20,English,6 total Stunden,Business,Daten & Analyse,,0 days 00:00:00.000000000,{'Start-Tech Academy'}
56,Trader – Take This Profession. From 0 To Professional,https://www.udemy.com/course/trader-profession/?couponCode=75B2FEF7DE1A1C02F7D6,3.25,26,English,34 Min. gesamt,Business,Finanzen,,2 days 08:00:00.000000000,{'Andrew Borysenko'}
70,Adobe Dimension CC: Create Awesome 3D Models,https://www.udemy.com/course/adobe-dimension/?couponCode=EA21ECABF6A761D8FE9B,3.95,59,English,1 total Stunde,Design,3D & Animation,,0 days 00:00:00.000000000,{'Joseph adam'}
69,EFT Out Your Addiction to Junk Food and Sugar - BAM!!,https://www.udemy.com/course/eft-tapping-sugar-addiction/?couponCode=MARCH11EFTADDICTION,3.85,22,English,"2,5 total Stunden",Gesundheit & Fitness,Diäten,,2 days 14:00:00.000000000,"{'Joan Kaylor', 'Scott Paton', 'Scott Alex'}"
63,Installing & Configuring a DNS Server on Windows Server 2016,https://www.udemy.com/course/installing-configuring-dns-services-on-windows-server-2016/?couponCode=MARSPECIAL,3.85,10,English,35 Min. gesamt,IT & Software,Betriebssysteme,,2 days 03:00:00.000000000,{'John Courtenay'}
4,Agile Project Management 200+ Tools with Kanban Scrum Devops,https://www.udemy.com/course/agile-project-management-certification-scrumkanbandevops/?couponCode=A88GILE,3.54545,146,English,"37,5 total Stunden",IT & Software,IT-Zertifizierung,,0 days 23:00:00.000000000,{'Henry Harvin Education'}
52,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?couponCode=MARSPECIAL,3.72414,34,English,32 Min. gesamt,IT & Software,Sonstiges,,2 days 03:00:00.000000000,{'John Courtenay'}
74,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?LSNPUBID=PPkX79%2Fc*b0&amp;couponCode=MARSPECIAL,3.72414,34,English,32 Min. gesamt,IT & Software,Sonstiges,,2 days 03:00:00.000000000,{'John Courtenay'}
