,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring
110,Wie Du Ein Erfolgreiches CPA Marketing Business Aufbaust,https://www.udemy.com/course/cpa-online-marketing-kurs/?couponCode=E3D9D93D77D6A0787742,3.8,50,de,"4,5 Stunden",Business,Selbstständigkeit,CPA-Marketing,17
45,Der komplette Listenaufbau-Kurs im eMail Marketing,https://www.udemy.com/course/listenaufbau-email-marketing-und-newsletter-kurs/?couponCode=D56812240E38A51DB465,4.0,50,de,"8,5 Stunden",Marketing,Digitales Marketing,List-Building,18
17,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=FEB2020FREE,4.3,30,en,"4,5 Stunden",Business,Daten & Analyse,Excel-Diagramme,16
97,Stock Options Day Trading Mindset for Success,https://www.udemy.com/course/stock-options-day-trading-success-mindset/?couponCode=F183514155225E1E8DFD,3.7,59,en,"4,5 Stunden",Business,Finanzen,Aktienhandel,99
78,Transformational Leadership - Leadership Course & Training,https://www.udemy.com/course/transformational-leadership-training-course/?couponCode=E14296C8EB327EBB2FBC,4.0,95,en,5 Stunden,Business,Management,Führung,18
100,How To Validate Your Idea And Succeed In Business,https://www.udemy.com/course/how-to-validate-your-idea-and-succeed-in-business/?couponCode=8D89C65A9052A040250C,4.3,49,en,"1,5 Stunden",Business,Selbstständigkeit,Business (Grundlagen),17
14,Ultimate Time Management - BEST Time Management Course,https://www.udemy.com/course/ultimate-time-management-best-time-management-course-class-training/?couponCode=432989C22969F29DBB65,4.1,226,en,"2,5 Stunden",Business,Sonstiges,Zeitmanagement,18
80,Outstanding Customer Service - The Ultimate Guide!,https://www.udemy.com/course/outstanding-customer-service/?couponCode=E262DB6BA4BDF7E62578,3.9,72,en,"2,5 Stunden",Business,Sonstiges,Kundenservice,18
11,Business Education: Guide to Blockchain and Cryptocurrencies,https://www.udemy.com/course/business-education-guide-to-blockchain-and-cryptocurrencies/?couponCode=6073A48FABB1DC5DA4D0,4.3,66,en,2 Stunden,Business,Strategie,Blockchain,5
103,The Ultimate Guide To Building A Viral Website Like Buzzfeed,https://www.udemy.com/course/the-ultimate-guide-to-building-a-viral-website-like-buzzfeed/?couponCode=B4BFDF82802350DA9BC5,4.1,288,en,"2,5 Stunden",Business,Unternehmensgründung,Virales Marketing,17
13,Ultimate Persuasion Strategies! - Influence Tools & Skills,https://www.udemy.com/course/persuasion-strategies-tools/?couponCode=692E4770C6FB5E36DE5C,4.1,77,en,"2,5 Stunden",Business,Verkauf/Vertrieb,Überzeugungsfähigkeit,18
75,Your Ultimate Blueprint to Sell Products Online,https://www.udemy.com/course/sell-online/?couponCode=9106E030DDD599537BEA,3.7,107,en,1 Stunde,Business,Verkauf/Vertrieb,Online-Business,99
90,Learn Photo Editing with Photoshop 2020,https://www.udemy.com/course/learn-photo-editing-with-photoshop-2020/?couponCode=TRY8FREE,3.4,12,en,"2,5 Stunden",Design,Designtools,Photoshop,99
85,Brand Design From Concept to Finish,https://www.udemy.com/course/design-a-differentiated-identity-for-your-brand/?couponCode=7C87FA36B1FC47EE4E12,4.5,154,en,1 Stunde,Design,Grafikdesign,Grafikdesign,99
86,Photo Editing With Free Software,https://www.udemy.com/course/photo-editing-with-free-software/?couponCode=EA0B5A65D1DB13380D2F,3.3,27,en,2 Stunden,Design,Grafikdesign,Bildbearbeitung,18
48,Complete Photography : 21 Courses in 1 [Beginner to Expert],https://www.udemy.com/course/interactive-photography-basics/?couponCode=FEBFREE,3.9,517,en,"8,5 Stunden",Fotografie,Fotografiegrundlagen,Fotografie,99
42,How to Analyze Football (Soccer) - Basics,https://www.udemy.com/course/how-to-analyze-football-soccer-basics/?couponCode=BA55E7B3F52CC8E4F6D8,4.6,28,en,1 Stunde,Gesundheit & Fitness,Sport,Fußball,99
101,RHEL / CentOs 8 Administration with Cockpit Web Console,https://www.udemy.com/course/rhel-centos-8-administration-with-cockpit-web-console/?couponCode=MASTER-LINUX-2020,4.1,30,en,"1,5 Stunden",IT & Software,Betriebssysteme,CentOS,18
27,Podcasting Success Strategies: Get Podcast Sponsorships ,https://www.udemy.com/course/podcast-sponsorships/?couponCode=0A040620D7E1DDFAB469,3.5,23,en,2 Stunden,Marketing,Content-Marketing,Podcasts,99
49,10 Copywriting Hacks That Work in 2020,https://www.udemy.com/course/10-copywriting-hacks-that-work-in-2016/?couponCode=D4BB81B2384C177A06CC,4.2,199,en,41 Min.,Marketing,Content-Marketing,Texten,17
