,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
162,Machine Learning Masterclass A-Z: Beginner to Advance,https://www.udemy.com/course/machine-learning-masterclass-a-z-beginner-to-advance/?couponCode=ML_LEARN_FREE,3.25641,136,English,3 total Stunden,Business,Daten & Analyse,,0 days 19:00:00.000000000,"{'J Kin', 'Marufa Yasmin'}"
1,Stock Option Day Trading with Chart Pattern Trading Tools,https://www.udemy.com/course/trading-stock-options-ii-simplified-strategies-for-success/?couponCode=MARCH5STOCKOPTION,4.58333,244,English,"10,5 total Stunden",Business,Finanzen,,1 days 04:00:00.000000000,"{'Scott Alex', 'Allen Maxwell', 'Mark Iddon', 'Scott Paton'}"
158,Chart Pattern Trading via Day Trade Stock Options Intro,https://www.udemy.com/course/how-to-trade-stock-options-level-1-start-day-trading/?couponCode=MARCH5CHARTPATTERN,4.7,430,English,3 total Stunden,Business,Finanzen,,1 days 04:00:00.000000000,"{'Scott Alex', 'Allen Maxwell', 'Mark Iddon', 'Scott Paton'}"
0,Hotel Management Course - Hotel Management for Career Start,https://www.udemy.com/course/hotel-management-for-beginners/?couponCode=0DDF0514C4C6F6FA27F8,4.5,34,English,1 total Stunde,Business,Industrie,,1 days 16:00:00.000000000,{'Sabir Ziganshin'}
48,Learn Illustrator CC: Create Simple Flat Vector Characters,https://www.udemy.com/course/simple-flat-vector-characters/?couponCode=741B6B77DF3B76230B15,4.36225,281,English,1 total Stunde,Design,Grafikdesign,,2 days 14:00:00.000000000,{'Jonathan Lam'}
139,iPhone Photography - Take Better Pictures With Your iPhone,https://www.udemy.com/course/iphonephotographycourse/?couponCode=MARCHFREE,3.95455,108,English,"1,5 total Stunden",Fotografie,Fotografiegrundlagen,,1 days 11:00:00.000000000,"{'Joe Parys Support', 'Joe Parys'}"
215,Complete Photography Course for Beginners : 9 Courses in 1,https://www.udemy.com/course/complete-photography-course/?couponCode=FREEPHOTOGRAPHY20,3.95455,252,English,2 total Stunden,Fotografie,Fotografiegrundlagen,,1 days 09:00:00.000000000,{'Creative Online School'}
78,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=9F08643A7B9E9E41640D,4.27734,288,English,8 total Stunden,Fotografie,Fotografietools,,0 days 06:00:00.000000000,{'YouAccel Training'}
54,Video Editing with Adobe Premiere Pro CC 2020 for Beginners,https://www.udemy.com/course/video-editing-with-adobe-premiere-pro-cc-for-beginners/?couponCode=MARFREE,3.95455,67,English,1 total Stunde,Fotografie,Videodesign,,1 days 13:00:00.000000000,{'Adeep Krishna'}
118,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=FREECOURSE2020,3.38095,21,English,2 total Stunden,Fotografie,Videodesign,,0 days 09:00:00.000000000,{'Dhabal Video School'}
