,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
35,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=160220_FREE,4.2,2653,Englisch,1.5,Business,Management,Scrum
4,Blender 2.8 Complete Beginners Guide to 3D Modelling a Scene,https://www.udemy.com/course/blender-28-complete-beginners-guide-to-3d-modelling-a-scene/?couponCode=3DTUDORFEB,4.3,122,Englisch,21.0,Design,3D & Animation,Blender
38,Autodesk AutoCAD Civil 3D: For Engineers and Designers,https://www.udemy.com/course/autocadcivil3d2019/?couponCode=FREECIVIL3D,4.1,20,Englisch,8.0,Design,Designtools,AutoCAD Civil 3D
39,Key Performance Indicators - The Complete Course,https://www.udemy.com/course/kpis-what-every-financial-analyst-should-know/?couponCode=2AEEC09744B0BAB8DF91,4.5,28,Englisch,2.0,Finanzen & Rechnungswesen,Finanzmodelle & Finanzanalyse,KPIs (Key Performance Indicators)
63,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=E60B159FF3734FE211E8,4.3,205,Englisch,8.0,Fotografie,Fotografietools,Adobe Lightroom
7,PMP® Certification: PMP Exam Cram - Get your PMP! // 14 PDUs,https://www.udemy.com/course/pmp-certification-pmp-exam-cram-get-your-pmp/?couponCode=FREEPMPCRAM2002,3.8,9,Englisch,14.0,IT & Software,IT-Zertifizierung,PMP
11,A to Z Ethical Hacking Course,https://www.udemy.com/course/a-to-z-ethical-hacking-course/?couponCode=1_LAKH_FREE,3.8,231,Englisch,7.5,IT & Software,Netzwerk & Sicherheit,Ethical Hacking
6,Understanding Instagram Marketing - The Basics,https://www.udemy.com/course/understanding-instagram-marketing-the-basics/?couponCode=FEB2020,3.9,16,Englisch,3.0,Marketing,Content-Marketing,Instagram-Marketing
36,Podcast Storytelling Masterclass,https://www.udemy.com/course/how-to-start-podcast-storytelling/?couponCode=48AE9DD31CE04EF02C53,3.9,29,Englisch,1.5,Marketing,Social-Media-Marketing,Podcasts
45,Make Money Writing: Your Ultimate Guide to Earn as a Writer,https://www.udemy.com/course/make-money-writing-your-ultimate-guide-to-earn-as-a-writer/?couponCode=B39E875569429B33C94F,3.8,10,Englisch,1.0,Marketing,Sonstiges,Buch-Marketing
5,SEO Training 2020 : Complete SEO Guide For Beginners,https://www.udemy.com/course/seo-training-2018-complete-seo-guide-for-beginners/?couponCode=VALENTINESEO2020,3.5,623,Englisch,2.0,Marketing,Suchmaschinenoptimierung,SEO
14,Fire Up Your Website’s Traffic: A Beginner's Guide On SEO,https://www.udemy.com/course/fire-up-your-website-traffic/?couponCode=EB67227396E4FE4B5CDA,3.7,32,Englisch,36.0,Marketing,Suchmaschinenoptimierung,SEO
13,30 Days To A Better Singing Voice,https://www.udemy.com/course/30-day-course/?couponCode=D84EA1688D5342EFB881,5.0,10,Englisch,2.5,Musik,Gesang,Singen
48,8D Audio Conversion: Convert Any Music Track To 8D,https://www.udemy.com/course/8d-audio-conversion-convert-any-music-track-to-8d/?couponCode=E8641708596EC17175B9,3.4,41,Englisch,38.0,Musik,Musiksoftware,Musikproduktion
23,Mastering Interview Skills in 1 Hour with Fortune 500 Exec,https://www.udemy.com/course/mastering-interview-skills-in-1-hour/?couponCode=6833E55983DFA31E1DF4,4.4,318,Englisch,1.0,Persönliche Entwicklung,Karriereentwicklung,Einstellungsgespräch
24,Remove Your Mental Financial Success Blocks With EFT Tapping,https://www.udemy.com/course/remove-your-mental-financial-success-blocks-with-eft/?couponCode=F0D3D0E3E2CC2AB7CA5C,4.0,85,Englisch,1.5,Persönliche Entwicklung,Persönliche Veränderung,EFT
47,Speed Reading Simplified,https://www.udemy.com/course/speed-reading-fast/?couponCode=F46C9DA2206A1C417675,4.1,222,Englisch,1.0,Persönliche Entwicklung,Produktivität,Schnelllesen
43,Complete course of Java Server Pages (JSP) Programming,https://www.udemy.com/course/complete-course-of-java-server-pages-jsp-programming/?couponCode=51E410A338864DB080C8,4.3,15,Englisch,2.5,Programmierung,Programmiersprachen,JSP
49,Learn Firefox,https://www.udemy.com/course/learn-firefox/?couponCode=TRY75FREE,3.7,36,Englisch,36.0,Programmierung,Programmierungstools,Web-Content
59,Learn Firefox Developer Edition,https://www.udemy.com/course/learn-firefox-developer-edition/?couponCode=TRY75FREE,3.4,29,Englisch,31.0,Programmierung,Programmierungstools,Front-End-Webentwicklung
50,AutoCAD 2020 and Artificial Intelligence Tools: Part 1,https://www.udemy.com/course/autocad-2020-and-artificial-intelligence-tools-part-1/?couponCode=41BD052F364928C46CE7,3.5,46,Englisch,1.0,Programmierung,Sonstiges,AutoCAD
20,Internet and Web Development Fundamentals,https://www.udemy.com/course/internet-and-web-development-fundamentals/?couponCode=DE5FB16E58BE82F6E53C,4.5,56,Englisch,4.0,Programmierung,Webentwicklung,Webentwicklung
37,Learn Web Hosting,https://www.udemy.com/course/learn-web-hosting/?couponCode=TRY75FREE,3.4,70,Englisch,1.0,Programmierung,Webentwicklung,Webhosting
44,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=6E1DB04FF9F17FCBB1A2,4.2,38,Englisch,2.5,Programmierung,Webentwicklung,AJAX
54,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/?couponCode=F14C30F55BA27BCDA299,4.3,482,Englisch,20.5,Programmierung,Webentwicklung,Webentwicklung
28,★Adobe Photoshop CC para Principiantes✔️Básico hasta EXPERTO,https://www.udemy.com/course/photoshopccdominaeldisenodigital/?couponCode=0FCC6561C513101AE957,3.9,284,Spanisch,8.0,Design,Grafikdesign,Photoshop
3,Excel para negocios: Básico hasta avanzado,https://www.udemy.com/course/excelparanegocios/?couponCode=507D5A5AC1A5F38928C5,4.2,688,Spanisch,2.5,Office-Produktivität,Microsoft,Excel
