,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
61,Learn Sublime Text 3,https://www.udemy.com/course/learn-sublime-text-3/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,Sublime Text,Englisch,63.0
62,Learn Font Awesome,https://www.udemy.com/course/learn-font-awesome/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Icon-Design,Englisch,21.0
65,How to Install a Free SSL Certificate using Let's Encrypt,https://www.udemy.com/course/fix-googles-new-not-secure-warning-with-lets-encrypt/?couponCode=6A5707F80BE46626E6FF,4.2,Programmierung,Webentwicklung,Let's Encrypt,Englisch,126.0
68,Learn Advanced JavaScript,https://www.udemy.com/course/the-learn-javascript-course/?couponCode=TRY30FREE,3.6,Programmierung,Webentwicklung,JavaScript,Englisch,194.0
71,"Install NGINX, PHP, MySQL, SSL & WordPress on Ubuntu 18.04",https://www.udemy.com/course/install-nginx-php-mysql-ssl-wordpress-on-ubuntu/?couponCode=810F22226CE4A3FBCB80,4.3,Programmierung,Webentwicklung,NGINX,Englisch,101.0
74,Learn Basic CSS3,https://www.udemy.com/course/learn-basic-css3/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,CSS,Englisch,87.0
85,Front End Web Development For Beginners (A Practical Guide),https://www.udemy.com/course/learn-front-end-development/?couponCode=TRY30FREE,4.1,Programmierung,Webentwicklung,Front-End-Webentwicklung,Englisch,970.0
88,Learn Basic GitHub,https://www.udemy.com/course/learn-basic-github/?couponCode=TRY30FREE,3.5,Programmierung,Webentwicklung,GitHub,Englisch,105.0
93,Learn Advanced SVG,https://www.udemy.com/course/learn-advanced-svg/?couponCode=TRY30FREE,3.6,Programmierung,Webentwicklung,SVG,Englisch,19.0
94,Learn Advanced CSS3,https://www.udemy.com/course/the-complete-css-course/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,CSS,Englisch,180.0
102,Learn Advanced jQuery,https://www.udemy.com/course/the-learn-jquery-course/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,jQuery,Englisch,93.0
105,Podcast in The Classroom - Kindergarten to High School,https://www.udemy.com/course/learn-to-podcast-in-the-classroom/?couponCode=D155428E159FD2A35A5C,5.0,Wissenschaft & Lehre,Lehrausbildung,Podcasts,Englisch,17.0
73,How To Create An Online Course That Sells,https://www.udemy.com/course/how-to-create-an-online-course-that-sells/?couponCode=SUPERPROMO45F,4.4,Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,Englisch,160.0
18,Understanding the GMAT: Introduction Course,https://www.udemy.com/course/understanding-the-gmat-introduction/?couponCode=2020FEB,3.7,Wissenschaft & Lehre,Prüfungsvorbereitung,GMAT,Englisch,194.0
67,Express GRE 320+ Preparation Formula,https://www.udemy.com/course/express-gre-preparation/?couponCode=FEB2020,3.4,Wissenschaft & Lehre,Prüfungsvorbereitung,GRE,Englisch,32.0
