,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
63,Python - In 4 Stunden vom Anfänger zum Profi,https://www.udemy.com/course/python-vom-anfanger-zum-profi-der-all-inclusive-kurs/?couponCode=FREEPYTHON0,4.1,38,Deutsch,4.0,Programmierung,Programmiersprachen,Python
60,Realtor Podcast Marketing For Real Estate Agents Success,https://www.udemy.com/course/real-estate-marketing-for-realtors-podcast/?couponCode=D8A8D62FE4A7743DF31F,4.3,32,Englisch,3.0,Business,Immobilien,Podcasts
22,Job Interview Success - Getting Your Dream Job,https://www.udemy.com/course/winning-job-interviews/?couponCode=9EE06F918FB8E499D470,4.1,43,Englisch,1.0,Business,Personalwesen,Einstellungsgespräch
31,Work From Home: The Amazon FBA MasterPlan,https://www.udemy.com/course/online-business-selling-simple-products-amazon/?couponCode=WFHTAFMFEBFREE,4.4,2145,Englisch,2.5,Business,Selbstständigkeit,Amazon FBA
33,Gamification: Use Gamification in Marketing,https://www.udemy.com/course/marketing-with-fun-gamification-made-easy/?couponCode=FEB2020,4.0,55,Englisch,43.0,Business,Unternehmensgründung,Gamification
15,Increase sales through testimonials,https://www.udemy.com/course/testimonial-secrets/?couponCode=1ADE30F72CF19BF7BF7E,3.9,18,Englisch,1.0,Business,Verkauf/Vertrieb,Unternehmensgründung (Grundlagen)
18,Blender 2.8 Beginners Guide To 3D Modeling A Sci-fi Scene,https://www.udemy.com/course/blender-28-beginners-guide-to-3d-modeling-a-sci-fi-scene/?couponCode=3DTUDORBLENDER28,4.4,18,Englisch,18.0,Design,3D & Animation,3D-Modelle
59,CorelDraw Course For Laser Cutting in 1 hour,https://www.udemy.com/course/coreldraw-course-for-laser-cutting-in-55-minutes/?couponCode=WINTERPROMO,3.3,18,Englisch,1.0,Design,Grafikdesign,CorelDRAW
34,Tally ERP 9 : Step by Step Guide to Accounting With Tally,https://www.udemy.com/course/tally-erp-9-step-by-step-guide-to-accounting-with-tally/?couponCode=EASYTALLY,4.1,71,Englisch,8.0,Finanzen & Rechnungswesen,Rechnungswesen & Buchhaltung,Tally.ERP
19,EFT Tapping for OCD Anxiety using Gentle Behavior Therapy,https://www.udemy.com/course/eft-ocd-using-gentle-behavior-therapy/?couponCode=27907366E1526A986EFF,4.4,30,Englisch,1.5,Gesundheit & Fitness,Mentale Gesundheit,EFT
50,Strokes disable. Strokes kill. Minimise your risk.,https://www.udemy.com/course/how-to-prevent-a-stroke/?couponCode=PAULASTROKE,4.5,81,Englisch,4.0,Gesundheit & Fitness,Mentale Gesundheit,Gesundheitswesen
29,A to Z Ethical Hacking Course,https://www.udemy.com/course/a-to-z-ethical-hacking-course/?couponCode=1_LAKH_FREE,3.7,267,Englisch,7.5,IT & Software,Netzwerk & Sicherheit,Ethical Hacking
42,Wi-Fi Hacking with Kali,https://www.udemy.com/course/wi-fi-hacking-with-kali/?couponCode=1_LAKH_FREE_,3.7,557,Englisch,2.5,IT & Software,Netzwerk & Sicherheit,Kali Linux
68,CompTIA Cybersecurity Analyst CySA+ (CSA+): Practice Exam,https://www.udemy.com/course/comptia-cybersecurity-analyst-cysa-csa-practice-exam/?couponCode=FREECYSAPLUS,3.9,9,Englisch,3.0,IT & Software,Netzwerk & Sicherheit,CompTIA CySA+
70,CompTIA Cybersecurity Analyst CySA+ (CSA+): Practice Exam,https://www.udemy.com/course/comptia-cybersecurity-analyst-cysa-csa-practice-exam/?couponCode=FREECYSAPLUS,3.9,9,Englisch,3.0,IT & Software,Netzwerk & Sicherheit,CompTIA CySA+
39,First Steps in Market Research,https://www.udemy.com/course/first-steps-in-market-research/?couponCode=FEB2020,3.8,32,Englisch,1.5,Marketing,Marketinggrundlagen,Marktforschung
12,2020 Millennial Instagram Marketing: 10k+ Organic Followers,https://www.udemy.com/course/2020-millennial-insta-marketing-grow-10k-organic-followers/?couponCode=SOCIAL,3.7,17,Englisch,1.0,Marketing,Social-Media-Marketing,Instagram-Marketing
53,"Become a Graphic Designer with Canva, Pinterest & Instagram",https://www.udemy.com/course/visual-content-marketing-with-pinterest-instagram/?couponCode=FEB2020,3.8,23,Englisch,5.0,Marketing,Social-Media-Marketing,Pinterest-Marketing
