,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2,expiring
0,Website Design - Create websites in minutes with AI Tools,https://www.udemy.com/course/artificial-intelligence-website-creation-2018-no-coding/?couponCode=5365F20F48CCE2801388,3.9,569,Englisch,"2,5 Stunden",Programmierung,Data Science,Künstliche Intelligenz,99
11,"Machine Learning Basics: Logistic Regression, LDA & KNN in R",https://www.udemy.com/course/machine-learning-basics-classification-models-in-r/?couponCode=FEB2020FREE,4.0,31,Englisch,6 Stunden,Programmierung,Data Science,Machine Learning,99
41,Support Vector Machines in Python - SVM in Python 2019,https://www.udemy.com/course/machine-learning-adv-support-vector-machines-svm-python/?couponCode=FEB2020FREE,3.8,44,Englisch,6 Stunden,Programmierung,Data Science,Machine Learning,99
85,Neural Networks (ANN) in R studio using Keras & TensorFlow,https://www.udemy.com/course/neural-network-understanding-and-building-an-ann-in-r/?couponCode=FEB2020FREE,3.9,27,Englisch,8 Stunden,Programmierung,Data Science,Neuronale Netze,99
4,The App Developer Bootcamp,https://www.udemy.com/course/the-app-developer-bootcamp/?couponCode=SAVE100,5.0,11,Englisch,6 Stunden,Programmierung,Mobile-Apps,iOS-Entwicklung,99
65,Java Programming: Complete Beginner to Advanced,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/?couponCode=BCE3FD6F2D6F574495F3,4.3,899,Englisch,"1,5 Stunden",Programmierung,Programmiersprachen,Java,99
37,Artificial Intelligence for Civil Engineers: Part 1,https://www.udemy.com/course/artificial-intelligence-for-civil-engineers-part-1/?couponCode=93FFC0E24F9B3501E446,3.6,56,Englisch,"38 Min,",Programmierung,Programmierungstools,Bauwesen,99
45,Simple and Advanced Topics of Animating 2D Characters,https://www.udemy.com/course/learn-how-to-make-animated-2d-characters-in-unity3d/?couponCode=6BA7595D4FB477271D0F,4.5,52,Englisch,"3,5 Stunden",Programmierung,Spieleentwicklung,Charakteranimation,99
13,Quick Guide: Setup a Local Testing Server using WAMP or MAMP,https://www.udemy.com/course/quick-guide-setup-a-local-testing-server-using-wamp-or-mamp/?couponCode=33C9B4702627392A9323,3.9,36,Englisch,"37 Min,",Programmierung,Webentwicklung,Server-Infrastruktur,99
31,Setup a Virtual Web Server using Linode or Digital Ocean,https://www.udemy.com/course/setup-a-virtual-web-server-using-linode-or-digital-ocean/?couponCode=4E643252D9F07A996C10,4.1,25,Englisch,"2,5 Stunden",Programmierung,Webentwicklung,Virtuelle Maschinen,99
46,"JavaScript, Bootstrap, & PHP - Certification for Beginners",https://www.udemy.com/course/javascript-bootstrap-php-certification-for-beginners/?couponCode=60F705F6F4FE26A0B202,4.1,186,Englisch,6 Stunden,Programmierung,Webentwicklung,Bootstrap,99
100,Full Stack Web Development Masterclass: Beginner To Advanced,https://www.udemy.com/course/the-complete-web-developer-masterclass-beginner-to-advanced/?couponCode=A58BA1E3AC35C1FBCCD2,4.3,280,Englisch,22 Stunden,Programmierung,Webentwicklung,Webentwicklung,99
43,How to Find a Hot Topic for Your Udemy Course - Unofficial,https://www.udemy.com/course/unofficial-how-to-find-a-hot-topic-for-your-udemy-course/?couponCode=86E8BF80E9048A188C11,4.1,52,Englisch,"1,5 Stunden",Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,99
59,10 Product Creation Hacks That Work In 2020,https://www.udemy.com/course/10-product-creation-hacks-that-work-in-2016/?couponCode=3E950BC0DEFD621CF822,4.0,36,Englisch,"32 Min,",Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,99
77,Multiple Choice Questions- Civil Engineering,https://www.udemy.com/course/basic-civil-engineering/?couponCode=MCQCIVIL,4.1,9,Englisch,6 Praxistest,Wissenschaft & Lehre,Technische Wissenschaften,Bauwesen,99
49,Curso Básico de Linux,https://www.udemy.com/course/linux-debian-desde-cero/?couponCode=DD0A0EF43F33E2011AAC,4.3,461,Spanisch,"3,5 Stunden",IT & Software,Betriebssysteme,Linux,17
57,Sıfırdan Uzmanlığa İngilizce Eğitim Seti! İngilizce hapı!,https://www.udemy.com/course/sifirdan-uzmanliga-ingilizce-egitim-seti/?couponCode=ALPTIMUCINKOCAK,4.3,297,Türkisch,"29,5 Stunden",Wissenschaft & Lehre,Sprache,Englisch (Sprache),14
