,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
39,Python for Machine Learning bootcamp,https://www.udemy.com/course/python-for-machine-learning-bootcamp/?couponCode=E7EF6887CA922FB62E2B,4.2,167,Englisch,20 Stunden,Business,Daten & Analyse,Data Science
22,Accounting–Financial Accounting Total-Beginners to Advanced,https://www.udemy.com/course/financial-accounting-accounting-cycle/?couponCode=1AC7718F3BD2984C2151,4.0,307,Englisch,"115,5 Stunden",Business,Finanzen,Finanzbuchhaltung
12,Blender 2.8 Model Texture Animation & Simulation Full Guide,https://www.udemy.com/course/blender-28-model-texture-animate-simulate-complete-guide/?couponCode=3DTUDORFEB,4.2,14,Englisch,13 Stunden,Design,3D & Animation,Animation
30,Learn Cinema 4D: Low Poly Planet,https://www.udemy.com/course/low-poly-planet/?couponCode=B8BB71773FF32AD4D165,4.0,14,Englisch,1 Stunde,Design,3D & Animation,Cinema 4D
8,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=FEBFNLWK2020,3.9,27,Englisch,1 Stunde,Finanzen & Rechnungswesen,Investition & Trading,Passives Einkommen
29,EFT Weight Loss - Tapping into Exercise,https://www.udemy.com/course/eft-weight-loss-tapping-into-exercise/?couponCode=BDFC77602966919BF3D7,3.7,20,Englisch,1 Stunde,Gesundheit & Fitness,Fitness,Abnehmen
37,Best HTML Course for Beginners from Basic to Advance,https://www.udemy.com/course/best-html-course-for-beginners-from-basic-to-advance/?couponCode=B350DF6400D78B54A3C3,3.9,12,Englisch,3 Stunden,IT & Software,IT-Zertifizierung,HTML
18,Software Ethical Hacking - How to Crack Software Legally,https://www.udemy.com/course/crack-software-legally/?couponCode=CRACKSOFT_FREE_FEB21,4.3,18,Englisch,"4,5 Stunden",IT & Software,Netzwerk & Sicherheit,Software-Testing
28,The Absolute Beginners Guide to Cyber Security and Hacking,https://www.udemy.com/course/the-absolute-beginners-guide-to-cybersecurity-and-hacking/?couponCode=ENROLFORVIRTUAL,3.6,71,Englisch,17 Stunden,IT & Software,Netzwerk & Sicherheit,Ethical Hacking
53,Learn Network Attacks and Security,https://www.udemy.com/course/network-attacks-and-security/?couponCode=1_LAKH_FREE,3.7,234,Englisch,5 Stunden,IT & Software,Netzwerk & Sicherheit,Netzwerksicherheit
7,46 Best Thai Food Easy Recipe Thai Cooking Eat Like Thai,https://www.udemy.com/course/46-thai-home-cooking-simple-authentic-recipies-everyday-meal/?couponCode=PLAKITCHEN01022020,4.5,14,Englisch,6 Stunden,Lifestyle,Essen & Trinken,Thailändisch kochen
1,Start Your Own Digital Marketing Agency in 10 days!,https://www.udemy.com/course/start-your-own-digital-marketing-agency/?couponCode=FEB2020,3.8,90,Englisch,"8,5 Stunden",Marketing,Digitales Marketing,Digitales Marketing
2,"Improving love, sex & marriage - Relationship Coaching",https://www.udemy.com/course/successful-marriage-life-psychology-aman-varma/?couponCode=FORFREE,3.7,18,Englisch,3 Stunden,Persönliche Entwicklung,Erziehung & Beziehung,Beziehungen aufbauen
19,"Abuse Is Not Love Whether Dating, In Domestic Relationship",https://www.udemy.com/course/abuse-is-not-love-whether-dating-in-domestic-relationship/?couponCode=FEB2220,4.5,16,Englisch,1 Stunde,Persönliche Entwicklung,Erziehung & Beziehung,Posttraumatische Belastungsstörung
43,Website Design - Create websites in minutes with AI Tools,https://www.udemy.com/course/artificial-intelligence-website-creation-2018-no-coding/?couponCode=5365F20F48CCE2801388,3.9,566,Englisch,"2,5 Stunden",Programmierung,Data Science,Künstliche Intelligenz
15,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=25F65C3F66D1C95D9941,4.3,38,Englisch,"2,5 Stunden",Programmierung,Webentwicklung,AJAX
21,"Create a Members Only Blog using PHP, MySQL, & AJAX",https://www.udemy.com/course/create-a-members-only-blog-using-php-mysql-ajax/?couponCode=08CEA94E67FCCB6685C2,4.1,54,Englisch,2 Stunden,Programmierung,Webentwicklung,Webentwicklung
27,CSS Flexbox in Depth,https://www.udemy.com/course/flexbox-in-depth/?couponCode=D9872021914A637DFC83,4.3,114,Englisch,6 Stunden,Programmierung,Webentwicklung,Flexbox
32,Introduction to Domain Names and Web Hosting - Quick Guide,https://www.udemy.com/course/introduction-to-domain-names-and-web-hosting-quick-guide/?couponCode=C9881C4E0F2A93DB4EB3,4.0,54,Englisch,1 Stunde,Programmierung,Webentwicklung,Webhosting
33,Setup a Virtual Web Server using Linode or Digital Ocean,https://www.udemy.com/course/setup-a-virtual-web-server-using-linode-or-digital-ocean/?couponCode=4E643252D9F07A996C10,4.2,25,Englisch,"2,5 Stunden",Programmierung,Webentwicklung,Virtuelle Maschinen
42,Quick Guide: Setup a Local Testing Server using WAMP or MAMP,https://www.udemy.com/course/quick-guide-setup-a-local-testing-server-using-wamp-or-mamp/?couponCode=33C9B4702627392A9323,3.9,36,Englisch,"37 Min,",Programmierung,Webentwicklung,Server-Infrastruktur
50,Learn MySQL - For Beginners,https://www.udemy.com/course/learn-mysql-for-beginners/?couponCode=BA8DFF051DFCC8F8CCFA,4.3,89,Englisch,"1,5 Stunden",Programmierung,Webentwicklung,MySQL
4,SQL SERVER - Domínio total da programação de banco de dados.,https://www.udemy.com/course/sql-server-2017-domine-a-programacao-de-banco-de-dados/?couponCode=FREECARNIVAL,4.5,92,Portugiesisch,"16,5 Stunden",Programmierung,Datenbanken,Datenbankprogrammierung
45,Sıfırdan Uzmanlığa İngilizce Eğitim Seti! İngilizce hapı!,https://www.udemy.com/course/sifirdan-uzmanliga-ingilizce-egitim-seti/?couponCode=ALPTIMUCINKOCAK,4.3,282,Türkisch,"29,5 Stunden",Wissenschaft & Lehre,Sprache,Englisch (Sprache)
