,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
59,Agile Grundlagen: Agile Projektmanagement; Agile Lieferung,https://www.udemy.com/course/agile-zertifikat/?couponCode=919A877627162DF201A4,3.83333,136,Deutsch,1 total Stunde,IT & Software,IT-Zertifizierung,,0 days 16:00:00.000000000,{'Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation'}
62,Complete Machine Learning Course - Learn From Scratch,https://www.udemy.com/course/complete-machine-learning-course-learn-from-scratch-t/?couponCode=MLMAR198O,3.45,19,English,30 Min. gesamt,Business,Daten & Analyse,,1 days 23:00:00.000000000,{'Masud Rana'}
52,Multiple Streams of Realtor Income - Real Estate Investing,https://www.udemy.com/course/realtors-and-real-estate-investing/?couponCode=MARCH13MULTIPLE,4.1,22,English,"1,5 total Stunden",Business,Immobilien,,1 days 06:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Lou Brown'}"
65,Five Proven Steps to Real Estate Investing Success,https://www.udemy.com/course/five-proven-steps-to-real-estate-investing-success/?couponCode=MARCH14FIVESTEPS,4.15,33,English,"1,5 total Stunden",Business,Immobilien,,2 days 06:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Blair Halver'}"
36,Remote Speaking - Pro Speaking Skills in The Coronavirus Era,https://www.udemy.com/course/how-to-give-a-virtual-keynote-speech/?couponCode=04962EEAB600565012F3,4.0,15,English,"5,5 total Stunden",Business,Kommunikation,,2 days 19:00:00.000000000,{'TJ Walker'}
66,Employee Onboarding Masterclass,https://www.udemy.com/course/employee-onboarding-masterclass/?couponCode=MAR2020,3.9,20,English,1 total Stunde,Business,Personalwesen,,1 days 18:00:00.000000000,{'Talent Zoom'}
4,Entrepreneurship Tips for Success,https://www.udemy.com/course/entrepreneurship-tips-for-success/?couponCode=59544957E69F40C479E5,3.55,13,English,2 total Stunden,Business,Unternehmensgründung,,1 days 23:00:00.000000000,{'Invert Media'}
17,First Steps in Creating Events,https://www.udemy.com/course/creating-awesome-events/?couponCode=MAR2020,3.45,34,English,1 total Stunde,Business,Unternehmensgründung,,0 days 22:00:00.000000000,{'iMarketer School LONDON'}
38,Outsource Mastery: How To Earn More Money By Doing Less Work,https://www.udemy.com/course/outsource-mastery/?couponCode=MARFREEOUTSOURCE,4.23529,38,English,"2,5 total Stunden",Business,Unternehmensgründung,,1 days 16:00:00.000000000,"{'Online Marketing Classroom', 'Tim Godfrey'}"
20,Learn Illustrator CC: Create a Vector Knight,https://www.udemy.com/course/vector-knight/?couponCode=1242C800B381CA42BAB9,4.24138,82,English,1 total Stunde,Design,Grafikdesign,,0 days 14:00:00.000000000,{'Jonathan Lam'}
13,Installing & Configuring a DNS Server on Windows Server 2016,https://www.udemy.com/course/installing-configuring-dns-services-on-windows-server-2016/?couponCode=MAREXTENDED,3.85,11,English,35 Min. gesamt,IT & Software,Betriebssysteme,,2 days 01:00:00.000000000,{'John Courtenay'}
23,Ultimate Google Cloud Certification - All in one Bundle (4),https://www.udemy.com/course/google-certified-architect-developer-engineer-data-devops/?couponCode=MAR10FREE,3.98667,251,English,32 total Stunden,IT & Software,IT-Zertifizierung,,0 days 21:00:00.000000000,{'Google Cloud Platform Gurus !'}
8,Most Advanced Level Ethical Hacking Using Kali Linux,https://www.udemy.com/course/most-advanced-level-ethical-hacking-course-using-kali-linux/?couponCode=1D1A03B314C9B6953013,3.84615,181,English,8 total Stunden,IT & Software,Netzwerk & Sicherheit,,1 days 20:00:00.000000000,{'ITNuggets Institute'}
47,The Absolute Tools Guide to Cyber Security and Hacking,https://www.udemy.com/course/the-absolute-tools-guide-to-cyber-security-and-hacking/?couponCode=LEARN-TOOL-GET-A-JOB,3.69444,22,English,"16,5 total Stunden",IT & Software,Netzwerk & Sicherheit,,1 days 17:00:00.000000000,{'Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!'}
33,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?couponCode=MAREXTENDED,3.74286,41,English,32 Min. gesamt,IT & Software,Sonstiges,,2 days 01:00:00.000000000,{'John Courtenay'}
