,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
30,E-Mails schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/e-mails-schreiben-leicht-gemacht/?couponCode=STAYATHOME,4.25,14,Deutsch,1 total Stunde,Business,Kommunikation,,2 days 06:00:00.000000000,{'Susanne Knaller'}
75,Dauerhafter Erfolg als Führungskraft - inkl. Shortbook,https://www.udemy.com/course/adobe-audition/?couponCode=STAYHOME,4.0,19,Deutsch,35 Min. gesamt,Business,Management,,2 days 05:00:00.000000000,{'Susanne Knaller'}
47,Statistics with R - Beginner Level,https://www.udemy.com/course/the-complete-security-on-instagram/?couponCode=FE35D604A1AC8C42C102,4.24468,943,English,3 total Stunden,Business,Daten & Analyse,,1 days 21:00:00.000000000,{'Bogdan Anastasiei'}
76,Profitable Forex with Risk Control,https://www.udemy.com/course/songwriting-magic/?couponCode=8040560F78CDCE035A99,3.2,134,English,"1,5 total Stunden",Business,Finanzen,,2 days 17:00:00.000000000,{'Juri Fab'}
12,GET on TOP of Real Estate Business with Facebook Ads in 2020,https://www.udemy.com/course/facebook-ads-for-real-estate-business/?couponCode=SKILLSFORFUTURE,4.1,12,English,23 total Stunden,Business,Immobilien,,2 days 00:00:00.000000000,"{'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert', 'SEO, Facebook Ads & Digital Marketing Academy'}"
28,Become a Professional Receptionist,https://www.udemy.com/course/become-a-professional-receptionist/?couponCode=MAR2020,3.75,18,English,6 total Stunden,Business,Kommunikation,,1 days 23:00:00.000000000,{'Global Corporate Academy'}
40,How To Start and Grow A Successful Clothing Brand Business,https://www.udemy.com/course/start-a-clothing-brand/?couponCode=MARCHFREEBIE,4.5,10,English,"2,5 total Stunden",Business,Unternehmensgründung,,2 days 03:00:00.000000000,{'Toby Cannon'}
49,Dropshipping Amazon To Ebay Easiest Way To Make Money Online,https://www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/?couponCode=931034DECC4870DC58AE,3.28125,21,English,2 total Stunden,Business,Verkauf/Vertrieb,,0 days 23:00:00.000000000,{'El Hamim Abderrahmane'}
11,Blender 3D Model a Medieval Catapult Full simulation Guide,https://www.udemy.com/course/blender-28-model-texture-animate-simulate-complete-guide/?couponCode=3DTUDORCATAFREE,4.26786,33,English,13 total Stunden,Design,3D & Animation,,0 days 05:00:00.000000000,{'Neil Bettison'}
13,Autodesk AutoCAD Civil 3D: For Engineers and Designers,https://www.udemy.com/course/autocadcivil3d2019/?couponCode=BEATCORONA,3.84,25,English,8 total Stunden,Design,Designtools,,0 days 23:00:00.000000000,{'CADCIM Technologies'}
85,Complete course in AutoCAD 2020 : 2D and 3D,https://www.udemy.com/course/roboauthor-content-writing-automation-2020-part-4/?couponCode=FORGSAA,3.86842,65,English,"16,5 total Stunden",Design,Designtools,,0 days 23:00:00.000000000,{'CADCIM Technologies'}
82,The Ultimate Photoshop & Graphic Design Course ! 2020,https://www.udemy.com/course/unity-game-development-master-class/?couponCode=B5B522206C758B1C42F7,3.85366,64,English,"2,5 total Stunden",Design,Grafikdesign,,0 days 01:00:00.000000000,{'Houssem Nmiri'}
36,AWS Certified Cloud Practitioner in 5 hours,https://www.udemy.com/course/aws-certified-cloud-practitioner-/?couponCode=FREECLOUD,4.53704,35,English,5 total Stunden,IT & Software,IT-Zertifizierung,,1 days 02:00:00.000000000,"{'Abdelrhman Moussa', 'Ahmed Alkabary'}"
9,The Basics of Cyber Security 2020,https://www.udemy.com/course/the-basics-of-cyber-security-2020/?couponCode=372F9E3ADFA46D491E90,4.06944,39,English,1 total Stunde,IT & Software,Netzwerk & Sicherheit,,0 days 03:00:00.000000000,{'Faisal Ammari'}
25,Orthogonal Array Testing,https://www.udemy.com/course/orthogonal-array-testing/?couponCode=HANDWASH,3.97727,22,English,38 Min. gesamt,IT & Software,Sonstiges,,1 days 23:00:00.000000000,{'Narayanan Palani'}
53,Digital Nomad Travel: Moving to Colombia Long Term,https://www.udemy.com/course/nginx-apache-ssl-encryption-certification-course/?couponCode=1C1E3553222A0243D6CA,4.05,28,English,1 total Stunde,Lifestyle,Reisen,,0 days 11:00:00.000000000,"{'Greggo Amos', 'Scott Alex', 'Scott Paton'}"
83,SPEAKING MASTERY - How to Master the Art of Public Speaking,https://www.udemy.com/course/curso-de-programacion-c-sql-server-para-principiantes/?couponCode=ADF83DE38BB4CC5CC1EA,4.32143,40,English,2 total Stunden,Marketing,Branding,,0 days 11:00:00.000000000,"{'Ricky Shetty', 'Scott Alex', 'Scott Paton'}"
