,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
17,Product Management :Agile Requirements using Product Backlog,https://www.udemy.com/course/agile-product-management-scrum/?couponCode=200220_FREE,3.8,426,Englisch,1.5 Stunden,Business,Management,Produktmanagement
81,Product Management :Agile Requirements using Product Backlog,https://www.udemy.com/course/agile-product-management-scrum/?couponCode=200220_FREE,3.8,426,Englisch,1.5 Stunden,Business,Management,Produktmanagement
34,Merch By Amazon - The Ultimate Beginners Guide For 2020,https://www.udemy.com/course/merch-by-amazon-beginners-guide/?couponCode=MBABEGINNER,4.0,13,Englisch,3 Stunden,Business,Unternehmensgründung,Merch by Amazon
2,Blender 2.8 Creating your First 3D Game Model,https://www.udemy.com/course/blender-2-8-creating-your-first-3d-game-model/?couponCode=3DTUDORWELLFEB,4.4,21,Englisch,5.5 Stunden,Design,3D & Animation,3D-Modelle
8,Blender 2.8 Model Texture Animation & Simulation Full Guide,https://www.udemy.com/course/blender-28-model-texture-animate-simulate-complete-guide/?couponCode=3DTUDORFEB,4.2,14,Englisch,13 Stunden,Design,3D & Animation,Animation
61,Blender 2.8 Creating your First 3D Game Model,https://www.udemy.com/course/blender-2-8-creating-your-first-3d-game-model/?couponCode=3DTUDORWELLFEB,4.4,21,Englisch,5.5 Stunden,Design,3D & Animation,3D-Modelle
67,Blender 2.8 Model Texture Animation & Simulation Full Guide,https://www.udemy.com/course/blender-28-model-texture-animate-simulate-complete-guide/?couponCode=3DTUDORFEB,4.2,14,Englisch,13 Stunden,Design,3D & Animation,Animation
7,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=FEBSALE2020,3.3,20,Englisch,2 Stunden,Fotografie,Videodesign,Color Grading (Farbkorrektur)
24,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=FEB2020_FREE,4.4,580,Englisch,5.5 Stunden,Fotografie,Videodesign,Adobe Premiere
66,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=FEBSALE2020,3.3,20,Englisch,2 Stunden,Fotografie,Videodesign,Color Grading (Farbkorrektur)
41,Deadly Mercury: How to Detox - Prevent Heavy Metal Poisoning,https://www.udemy.com/course/mercury-how-to-detox-heavy-metal-poisoning/?couponCode=69090EB11F6087F983BD,4.3,35,Englisch,1 Stunde,Gesundheit & Fitness,Ernährung,Detox
14,Best HTML Course for Beginners from Basic to Advance,https://www.udemy.com/course/best-html-course-for-beginners-from-basic-to-advance/?couponCode=B350DF6400D78B54A3C3,3.9,10,Englisch,3 Stunden,IT & Software,IT-Zertifizierung,HTML
75,Best HTML Course for Beginners from Basic to Advance,https://www.udemy.com/course/best-html-course-for-beginners-from-basic-to-advance/?couponCode=B350DF6400D78B54A3C3,3.9,10,Englisch,3 Stunden,IT & Software,IT-Zertifizierung,HTML
