,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
27,How to Start Affiliate Marketing with Clickbank,https://www.udemy.com/course/how-to-start-affiliate-marketing-with-clickbank/?couponCode=FEBRUARYFREE,3.9,36,Englisch,44 Min.,Marketing,Affiliate-Marketing,Affiliate-Marketing
73,Start Your Own Digital Marketing Agency in 10 days!,https://www.udemy.com/course/start-your-own-digital-marketing-agency/?couponCode=FEB2020,3.8,90,Englisch,8.5 Stunden,Marketing,Digitales Marketing,Digitales Marketing
46,9 Cognitive Biases & 28 Persuasion Tricks,https://www.udemy.com/course/subconscious-persuasion-practices/?couponCode=FREEBEE,3.9,26,Englisch,3.5 Stunden,Persönliche Entwicklung,Einflussnahme,Überzeugungsfähigkeit
74,Boost Your Productivity NOW: Advice From A Teen Entrepreneur,https://www.udemy.com/course/boost-your-productivity-now/?couponCode=56CC89D8E2CC9A04358C,4.7,38,Englisch,3 Stunden,Persönliche Entwicklung,Produktivität,Persönliche Produktivität
36,Complete Python Bootcamp : Go Beginner to Expert in Python 3,https://www.udemy.com/course/complete-python-bootcamp-expert-course/?couponCode=E04C48621DDF511C0E00,3.5,82,Englisch,4.5 Stunden,Programmierung,Programmiersprachen,Python
23,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=25F65C3F66D1C95D9941,4.3,38,Englisch,2.5 Stunden,Programmierung,Webentwicklung,AJAX
37,CSS Flexbox in Depth,https://www.udemy.com/course/flexbox-in-depth/?couponCode=D9872021914A637DFC83,4.3,114,Englisch,6 Stunden,Programmierung,Webentwicklung,Flexbox
39,Learn PHP - For Beginners,https://www.udemy.com/course/learn-php-for-beginners-n/?couponCode=100E394F4888D87D56B7,4.1,150,Englisch,2 Stunden,Programmierung,Webentwicklung,PHP
47,Learn Bootstrap - For Beginners,https://www.udemy.com/course/learn-bootstrap-for-beginners/?couponCode=962E53927EE7969A366B,4.0,105,Englisch,3 Stunden,Programmierung,Webentwicklung,Bootstrap
49,Learn MySQL - For Beginners,https://www.udemy.com/course/learn-mysql-for-beginners/?couponCode=BA8DFF051DFCC8F8CCFA,4.3,89,Englisch,1.5 Stunden,Programmierung,Webentwicklung,MySQL
53,Web Design Training with Elementor,https://www.udemy.com/course/web-design-training-with-elementor/?couponCode=FEBRUARYGIVEAWAY,4.3,52,Englisch,1.5 Stunden,Programmierung,Webentwicklung,Webdesign
85,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=25F65C3F66D1C95D9941,4.3,38,Englisch,2.5 Stunden,Programmierung,Webentwicklung,AJAX
38,Become a Permutations and Combinations Master,https://www.udemy.com/course/become-a-permutations-and-combinations-master/?couponCode=FREEPERCOM,4.0,14,Englisch,6 Stunden,Wissenschaft & Lehre,Mathematik,Statistik
45,SQL SERVER - Domínio total da programação de banco de dados.,https://www.udemy.com/course/sql-server-2017-domine-a-programacao-de-banco-de-dados/?couponCode=FREECARNIVAL,4.5,92,Portugiesisch,16.5 Stunden,Programmierung,Datenbanken,Datenbankprogrammierung
