,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring
0,Der komplette Listenaufbau-Kurs im eMail Marketing,https://www.udemy.com/course/listenaufbau-email-marketing-und-newsletter-kurs/?couponCode=65SUPERPROMO00,4.0,50,de,"8,5 Stunden",Marketing,Digitales Marketing,List-Building,99
84,Target Audience Training: Identify Your Ideal Customer,https://www.udemy.com/course/how-to-find-your-target-audience-in-less-than-30-minutes/?couponCode=65SUPERPROMO00,3.5,90,en,1 Stunde,Business,Daten & Analyse,Marketingstrategie,99
58,Learn Deferred Taxes through Case Studies,https://www.udemy.com/course/learn-deferred-taxes-through-case-studies/?couponCode=FEBFRE,4.2,17,en,"1,5 Stunden",Business,Finanzen,Steuererklärung,99
47,Transformational Leadership - Leadership Course & Training,https://www.udemy.com/course/transformational-leadership-training-course/?couponCode=65SUPERPROMO00,4.0,95,en,5 Stunden,Business,Management,Führung,99
37,The Importance of JV Contests in Exploding Your Business,https://www.udemy.com/course/jv-leaderboard/?couponCode=65SUPERPROMO00,3.4,14,en,"1,5 Stunden",Business,Selbstständigkeit,Businessstrategie,99
55,The Complete List Building Course: All Levels,https://www.udemy.com/course/list-building-secrets-copy-paste/?couponCode=65SUPERPROMO00,4.5,497,en,9 Stunden,Business,Selbstständigkeit,List-Building,99
97,How To Validate Your Idea And Succeed In Business,https://www.udemy.com/course/how-to-validate-your-idea-and-succeed-in-business/?couponCode=65SUPERPROMO00,4.3,49,en,"1,5 Stunden",Business,Selbstständigkeit,Business (Grundlagen),99
98,Amazon FBA: Complete Guide To Start Your Own Home Business,https://www.udemy.com/course/amazon-secrets/?couponCode=65SUPERPROMO00,4.1,735,en,"4,5 Stunden",Business,Selbstständigkeit,Amazon FBA,99
8,Ultimate Time Management - BEST Time Management Course,https://www.udemy.com/course/ultimate-time-management-best-time-management-course-class-training/?couponCode=65SUPERPROMO00,4.1,226,en,"2,5 Stunden",Business,Sonstiges,Zeitmanagement,99
23,Outstanding Customer Service - The Ultimate Guide!,https://www.udemy.com/course/outstanding-customer-service/?couponCode=65SUPERPROMO00,3.9,72,en,"2,5 Stunden",Business,Sonstiges,Kundenservice,99
62,The Ultimate Guide To Building A Viral Website Like Buzzfeed,https://www.udemy.com/course/the-ultimate-guide-to-building-a-viral-website-like-buzzfeed/?couponCode=65SUPERPROMO00,4.1,289,en,"2,5 Stunden",Business,Unternehmensgründung,Virales Marketing,99
9,Personal / Business Networking Skills For Maximum Success!,https://www.udemy.com/course/networking-networking/?couponCode=65SUPERPROMO00,4.2,94,en,1 Stunde,Business,Verkauf/Vertrieb,Persönliches Netzwerk,99
21,Ultimate Persuasion Strategies! - Influence Tools & Skills,https://www.udemy.com/course/persuasion-strategies-tools/?couponCode=65SUPERPROMO00,4.1,77,en,"2,5 Stunden",Business,Verkauf/Vertrieb,Überzeugungsfähigkeit,99
35,Your Ultimate Blueprint to Sell Products Online,https://www.udemy.com/course/sell-online/?couponCode=2288814A8670F4574E6C,3.5,109,en,1 Stunde,Business,Verkauf/Vertrieb,Online-Business,99
27,Learn Photo Editing with Photoshop 2020,https://www.udemy.com/course/learn-photo-editing-with-photoshop-2020/?couponCode=TRY8FREE,3.7,19,en,"2,5 Stunden",Design,Designtools,Photoshop,17
101,Brand Design From Concept to Finish,https://www.udemy.com/course/design-a-differentiated-identity-for-your-brand/?couponCode=7C87FA36B1FC47EE4E12,4.6,187,en,1 Stunde,Design,Grafikdesign,Grafikdesign,23
14,Earn from Photography: A Step By Step Guideline,https://www.udemy.com/course/earn-from-photography-complete-guideline/?couponCode=FREEPHOTOGRAPHY,3.5,49,en,"1,5 Stunden",Fotografie,Gewerbliche Fotografie,Fotografie,20
12,Overview of Aromatherapy,https://www.udemy.com/course/overview-of-aromatherapy/?couponCode=SHIVAM2602F,4.6,28,en,1 Stunde,Gesundheit & Fitness,Allgemeine Gesundheit,Aromatherapie,99
42,Fibromyalgia - 7 Day Challenge for Pain Free Living & Health,https://www.udemy.com/course/fibromyalgia-7-day-challenge-health/?couponCode=EB8138AB4168CC747697,4.5,84,en,3 Stunden,Gesundheit & Fitness,Allgemeine Gesundheit,Fibromyalgie,99
28,Overcoming Pregnancy Postpartum Depression And Anxiety,https://www.udemy.com/course/overcoming-pregnancy-postpartum-depression-and-anxiety/?couponCode=FEB2720,3.6,9,en,"1,5 Stunden",Gesundheit & Fitness,Mentale Gesundheit,Depressionen lindern/heilen,99
64,RHEL / CentOs 8 Administration with Cockpit Web Console,https://www.udemy.com/course/rhel-centos-8-administration-with-cockpit-web-console/?couponCode=FREE-LEAP-2020,4.2,31,en,"1,5 Stunden",IT & Software,Betriebssysteme,CentOS,99
83,The Theory Behind Electronics - A Beginners Guide,https://www.udemy.com/course/the-theory-behind-electronics-a-beginners-guide/?couponCode=ABEB327C34A81C5D7AA9,4.5,219,en,"3,5 Stunden",IT & Software,Hardware,Elektronik,99
90,Agile Project Management 200+ Tools with Kanban Scrum Devops,https://www.udemy.com/course/agile-project-management-certification-scrumkanbandevops/?couponCode=FREE188,4.0,91,en,"37,5 Stunden",IT & Software,IT-Zertifizierung,Projektmanagement,99
26,Learn Cyber Security From Scratch,https://www.udemy.com/course/learn-cyber-security-from-scratch-1/?couponCode=DISCUDEMY.COM,3.6,125,en,1 Stunde,IT & Software,Netzwerk & Sicherheit,Cyber-Sicherheit,99
87,Learn Ethical Hacking in 2020: Beginner to Advanced!,https://www.udemy.com/course/ethical-hacking-kali-linux/?couponCode=077030CD4B1A1FEAE7EB,4.4,1156,en,"28,5 Stunden",IT & Software,Netzwerk & Sicherheit,Ethical Hacking,99
6,Podcasting Success Strategies: Get Podcast Sponsorships ,https://www.udemy.com/course/podcast-sponsorships/?couponCode=0A040620D7E1DDFAB469,3.5,23,en,2 Stunden,Marketing,Content-Marketing,Podcasts,6
25,How To Create High-Quality Blog Content That Gets Shared,https://www.udemy.com/course/how-to-create-high-quality-blog-content-that-gets-shared/?couponCode=65SUPERPROMO00,4.0,237,en,33 Min.,Marketing,Content-Marketing,Bloggen,99
45,Build your high converting Landing Page with Thrive Themes!,https://www.udemy.com/course/build-your-high-converting-landing-page-with-thrive-themes/?couponCode=65SUPERPROMO00,4.0,21,en,1 Stunde,Marketing,Digitales Marketing,Landing-Page-Optimierung,99
56,Home Business: CPA Marketing From Scratch,https://www.udemy.com/course/home-business-cpa-marketing-from-scratch/?couponCode=65SUPERPROMO00,4.1,286,en,2 Stunden,Marketing,Digitales Marketing,CPA-Marketing,99
89,Getting new Customers with Google Adwords,https://www.udemy.com/course/google-adwords-course-complete/?couponCode=65SUPERPROMO00,4.2,27,en,2 Stunden,Marketing,Digitales Marketing,Google Ads (Adwords),99
16,How To Promote Your Event On Facebook,https://www.udemy.com/course/how-to-promote-your-event-on-facebook/?couponCode=65SUPERPROMO00,4.2,83,en,33 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
36,"How to Get Your First 1,000 Facebook Fans: For Beginners",https://www.udemy.com/course/facebook-marketing-like-campaign/?couponCode=65SUPERPROMO00,4.0,432,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
39,Facebook Marketing: Advanced Targeting Strategies,https://www.udemy.com/course/facebook-marketing-advanced-targeting-strategies/?couponCode=65SUPERPROMO00,4.1,668,en,"1,5 Stunden",Marketing,Social-Media-Marketing,Facebook-Marketing,99
63,Facebook Marketing: How To Improve Your Fan Page Performance,https://www.udemy.com/course/facebook-marketing-how-to-improve-your-fan-page-performance/?couponCode=65SUPERPROMO00,3.9,283,en,36 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
67,Marketer's Guide To Creating Facebook Ads That Convert,https://www.udemy.com/course/facebook-marketing-how-to-create-converting-ads/?couponCode=65SUPERPROMO00,4.4,612,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
70,Podcast Audience Growth - Networking with your Guests,https://www.udemy.com/course/power-networking-for-podcast-success/?couponCode=63B2AC61CFD0B9A58FF6,3.3,15,en,"2,5 Stunden",Marketing,Social-Media-Marketing,Podcasts,6
75,Facebook Marketing: Reveal The Power of Promoted Posts,https://www.udemy.com/course/promoted-posts/?couponCode=65SUPERPROMO00,4.3,454,en,44 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
79,Facebook Marketing: Drive Highly Targeted Facebook Traffic,https://www.udemy.com/course/facebook-marketing-targeted-traffic/?couponCode=65SUPERPROMO00,4.3,414,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
82,Facebook Marketing: Next Level Fan Growth Strategies,https://www.udemy.com/course/facebook-marketing-next-level-fan-growth-strategies/?couponCode=65SUPERPROMO00,4.1,366,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
88,Powerful Way To Grow Your Business With Contests,https://www.udemy.com/course/powerful-way-to-grow-your-business-with-contests/?couponCode=65SUPERPROMO00,3.6,35,en,30 Min.,Marketing,Social-Media-Marketing,Businessstrategie,99
94,Facebook Marketing: Next Level List Building Strategies,https://www.udemy.com/course/facebook-marketing-next-level-list-building-strategies/?couponCode=65SUPERPROMO00,4.1,226,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
96,"How To Get Your First 10,000 Facebook Fans In 2018",https://www.udemy.com/course/how-to-get-your-first-10000-facebook-fans-in-2016/?couponCode=65SUPERPROMO00,4.3,213,en,31 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
17,Advanced Parenting Skills - BEST Parenting Class Ever!,https://www.udemy.com/course/advanced-parenting-skills-best-parenting-class/?couponCode=65SUPERPROMO00,4.4,52,en,"3,5 Stunden",Persönliche Entwicklung,Erziehung & Beziehung,Erziehung,99
31,Winning With Communication - Master Communication Skills,https://www.udemy.com/course/communication-skills-class-course-training/?couponCode=65SUPERPROMO00,4.2,151,en,2 Stunden,Persönliche Entwicklung,Karriereentwicklung,Kommunikationsfähigkeiten,99
4,Motivation - Motivating Yourself & Others - POWERFUL!,https://www.udemy.com/course/motivation-motivating-yourself-others/?couponCode=65SUPERPROMO00,4.2,117,en,2 Stunden,Persönliche Entwicklung,Motivation,,99
103,How To Achieve Your Personal Goals In 12 Months,https://www.udemy.com/course/how-to-achieve-anything-you-want-in-12-months/?couponCode=65SUPERPROMO00,4.3,95,en,"1,5 Stunden",Persönliche Entwicklung,Persönliche Veränderung,Ziele setzen,99
104,Metaphysical Awakening Symptoms - Spiritual Growth Explained,https://www.udemy.com/course/metaphysical-awakening-symptoms/?couponCode=C5E9C28DDD4D3BD00338,4.0,54,en,39 Min.,Persönliche Entwicklung,Persönliche Veränderung,Spiritualität,99
49,A Modern Day Guide To Stop Procrastinating,https://www.udemy.com/course/a-modern-day-guide-to-stop-procrastinating/?couponCode=65SUPERPROMO00,4.0,274,en,1 Stunde,Persönliche Entwicklung,Produktivität,Prokrastination,99
73,Stress Management - For Relief From Stress of Life & Work,https://www.udemy.com/course/stress-management-reduction-tools-techniques-skills-work/?couponCode=65SUPERPROMO00,4.3,66,en,"1,5 Stunden",Persönliche Entwicklung,Stressbewältigung,Stressbewältigung,99
81,Coping Skills: For A Better Life!,https://www.udemy.com/course/coping-skills-tools-training-stress/?couponCode=65SUPERPROMO00,4.3,54,en,3 Stunden,Persönliche Entwicklung,Stressbewältigung,Stressbewältigung,99
1,Complete Database Course: 6 Courses in 1,https://www.udemy.com/course/database-course/?couponCode=FREEDATABASE,3.5,246,en,3 Stunden,Programmierung,Datenbanken,MySQL,21
29,Python Programming for Beginners in Data Science,https://www.udemy.com/course/just-enough-python/?couponCode=FEB_PYTHON_1,4.1,245,en,13 Stunden,Programmierung,Programmiersprachen,Python,16
52,C++ Basics - As Soon As Possible,https://www.udemy.com/course/cpp-basics/?couponCode=SHIVAM2602F,4.3,37,en,"5,5 Stunden",Programmierung,Programmiersprachen,C,99
65,Complete Python Course: Zero to Hero,https://www.udemy.com/course/complete-python-course-zero-to-hero/?couponCode=DISCUDEMY.COM,3.1,71,en,40 Min.,Programmierung,Programmiersprachen,Python,99
85,User Stories for Agile Scrum+Product Owner+Business Analysis,https://www.udemy.com/course/userstory/?couponCode=250220_FREE,4.1,1622,en,1 Stunde,Programmierung,Softwareentwicklung,Agile,2
3,C# basic :Learn C# basic fundamentals from scratch,https://www.udemy.com/course/c-basic-learn-c-basic-fundamentals-from-scratch/?couponCode=CODEISCODE,4.6,9,en,3 Stunden,Programmierung,Sonstiges,C#,99
95,Mastering JSON - Java Script Object Notation,https://www.udemy.com/course/mastering-json/?couponCode=SHIVAM2602F,3.8,51,en,2 Stunden,Programmierung,Sonstiges,JSON,99
80,Simple and Advanced Topics of Animating 2D Characters,https://www.udemy.com/course/learn-how-to-make-animated-2d-characters-in-unity3d/?couponCode=65SUPERPROMO00,4.5,52,en,"3,5 Stunden",Programmierung,Spieleentwicklung,Charakteranimation,99
106,Learn How to Make Trading Card Game Menus With Unity 3D,https://www.udemy.com/course/learn-how-to-make-trading-card-game-menus-with-unity-3d/?couponCode=65SUPERPROMO00,3.8,95,en,"7,5 Stunden",Programmierung,Spieleentwicklung,Unity,99
