,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
65,Product Management :Agile Requirements using Product Backlog,https://www.udemy.com/course/agile-product-management-scrum/?couponCode=200220_FREE,3.8,426,Englisch,1.5 Stunden,Business,Management,Produktmanagement
27,"MLM, Direct Sales and Network Marketing Global Success",https://www.udemy.com/course/mlm-network-marketing-direct-sales/?couponCode=C711FCAEB90AA61F5F4C,4.3,65,Englisch,2 Stunden,Business,Selbstständigkeit,Netzwerk-Marketing
22,Gamification: Use Gamification in Marketing,https://www.udemy.com/course/marketing-with-fun-gamification-made-easy/?couponCode=FEB2020,4.0,56,Englisch,43 Min.,Business,Unternehmensgründung,Gamification
9,Hidden Secrets Of Selling - Part 1,https://www.udemy.com/course/secrets-of-selling-marketing-1/?couponCode=0548F8210F8E8156619D,4.2,20,Englisch,2.5 Stunden,Business,Verkauf/Vertrieb,Verkaufs-Skills
51,Blender 2.8 Creating your First 3D Game Model,https://www.udemy.com/course/blender-2-8-creating-your-first-3d-game-model/?couponCode=3DTUDORWELLFEB,4.4,19,Englisch,5.5 Stunden,Design,3D & Animation,3D-Modelle
18,Tally ERP 9 : Step by Step Guide to Accounting With Tally,https://www.udemy.com/course/tally-erp-9-step-by-step-guide-to-accounting-with-tally/?couponCode=EASYTALLY,4.1,71,Englisch,8 Stunden,Finanzen & Rechnungswesen,Rechnungswesen & Buchhaltung,Tally.ERP
6,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=FEB2020_FREE,4.4,561,Englisch,5.5 Stunden,Fotografie,Videodesign,Adobe Premiere
24,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=FEBSALE2020,3.3,20,Englisch,2 Stunden,Fotografie,Videodesign,Color Grading (Farbkorrektur)
64,Deadly Mercury: How to Detox - Prevent Heavy Metal Poisoning,https://www.udemy.com/course/mercury-how-to-detox-heavy-metal-poisoning/?couponCode=69090EB11F6087F983BD,4.3,35,Englisch,1 Stunde,Gesundheit & Fitness,Ernährung,Detox
73,EFT Tapping for OCD Anxiety using Gentle Behavior Therapy,https://www.udemy.com/course/eft-ocd-using-gentle-behavior-therapy/?couponCode=27907366E1526A986EFF,4.4,31,Englisch,1.5 Stunden,Gesundheit & Fitness,Mentale Gesundheit,EFT
8,Wi-Fi Hacking with Kali,https://www.udemy.com/course/wi-fi-hacking-with-kali/?couponCode=1_LAKH_FREE_,3.9,577,Englisch,2.5 Stunden,IT & Software,Netzwerk & Sicherheit,Kali Linux
19,How to Start Affiliate Marketing with Clickbank,https://www.udemy.com/course/how-to-start-affiliate-marketing-with-clickbank/?couponCode=FEBRUARYFREE,4.0,29,Englisch,44 Min.,Marketing,Affiliate-Marketing,Affiliate-Marketing
54,9 Cognitive Biases & 28 Persuasion Tricks,https://www.udemy.com/course/subconscious-persuasion-practices/?couponCode=FREEBEE,3.9,25,Englisch,3.5 Stunden,Persönliche Entwicklung,Einflussnahme,Überzeugungsfähigkeit
1,How to Set Powerful Intentions and Clear Goals,https://www.udemy.com/course/motivation-intention-goals/?couponCode=E0CFD07ABF47A43C15E0,4.1,35,Englisch,1 Stunde,Persönliche Entwicklung,Motivation,Ziele setzen
67,Chakra Healing,https://www.udemy.com/course/chakra-healing-clearing-for-better-energy-thinking-joy/?couponCode=4D3CF998EE1B5526AC6C,4.4,186,Englisch,1.5 Stunden,Persönliche Entwicklung,Persönliche Veränderung,Chakra
11,Boost Your Productivity NOW: Advice From A Teen Entrepreneur,https://www.udemy.com/course/boost-your-productivity-now/?couponCode=56CC89D8E2CC9A04358C,4.7,38,Englisch,3 Stunden,Persönliche Entwicklung,Produktivität,Persönliche Produktivität
26,Social Skills for Entrepreneurs,https://www.udemy.com/course/mastering-the-art-of-being-u/?couponCode=1AF2182B0C95BF87EA8E,3.4,29,Englisch,2.5 Stunden,Persönliche Entwicklung,Selbstwertgefühl,Soziale Kompetenz
47,Creating A Positive Mindset - Accelerating Personal Success,https://www.udemy.com/course/creating-a-positive-mind-set/?couponCode=1875170D6FF66E0A2A4C,3.8,83,Englisch,1 Stunde,Persönliche Entwicklung,Selbstwertgefühl,Positives Denken
38,Complete Python Bootcamp : Go Beginner to Expert in Python 3,https://www.udemy.com/course/complete-python-bootcamp-expert-course/?couponCode=E04C48621DDF511C0E00,3.5,80,Englisch,4.5 Stunden,Programmierung,Programmiersprachen,Python
45,C++ Working with Files - fstream I/O library,https://www.udemy.com/course/c-operating-on-files/?couponCode=3D820ECBB711841551E7,3.7,154,Englisch,3 Stunden,Programmierung,Programmiersprachen,C
29,Learn JavaScript - For Beginners,https://www.udemy.com/course/learn-javascript-for-beginners-v/?couponCode=F1D96C31F139E7623BCC,4.0,144,Englisch,1.5 Stunden,Programmierung,Webentwicklung,JavaScript
31,Learn PHP - For Beginners,https://www.udemy.com/course/learn-php-for-beginners-n/?couponCode=100E394F4888D87D56B7,4.1,148,Englisch,2 Stunden,Programmierung,Webentwicklung,PHP
34,Learn Bootstrap - For Beginners,https://www.udemy.com/course/learn-bootstrap-for-beginners/?couponCode=962E53927EE7969A366B,4.1,103,Englisch,3 Stunden,Programmierung,Webentwicklung,Bootstrap
62,Learn jQuery - For Beginners,https://www.udemy.com/course/learn-jquery-for-beginners/?couponCode=5C7475426177328B3C18,4.5,87,Englisch,1.5 Stunden,Programmierung,Webentwicklung,jQuery
72,Web Design Training with Elementor,https://www.udemy.com/course/web-design-training-with-elementor/?couponCode=FEBRUARYGIVEAWAY,4.4,48,Englisch,1.5 Stunden,Programmierung,Webentwicklung,Webdesign
25,Become a Permutations and Combinations Master,https://www.udemy.com/course/become-a-permutations-and-combinations-master/?couponCode=FREEPERCOM,4.0,14,Englisch,6 Stunden,Wissenschaft & Lehre,Mathematik,Statistik
