,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
26,E-Mails schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/e-mails-schreiben-leicht-gemacht/?couponCode=STAYATHOME,4.3,14,Deutsch,1 total Stunde,Business,Kommunikation,,1 days 11:00:00.000000000,{'Susanne Knaller'}
65,Onboarding neuer Mitarbeiter - inkl. Shortbook,https://www.udemy.com/course/onboarding-neuer-mitarbeiter/?couponCode=STAYATHOME,3.625,4,Deutsch,1 total Stunde,Business,Management,,1 days 11:00:00.000000000,{'Susanne Knaller'}
68,Dauerhafter Erfolg als Führungskraft - inkl. Shortbook,https://www.udemy.com/course/dauerhafter-erfolg-als-fuehrungskraft/?couponCode=STAYATHOME,4.0,19,Deutsch,35 Min. gesamt,Business,Management,,1 days 10:00:00.000000000,{'Susanne Knaller'}
81,Erfolgreiches Diversity Management - inkl. Shortbook,https://www.udemy.com/course/erfolgreiches-diversity-management-inkl-shortbook/?couponCode=STAYATHOME,4.16667,3,Deutsch,41 Min. gesamt,Business,Management,,1 days 11:00:00.000000000,{'Susanne Knaller'}
7,Funnelcockpit - Online Business mit nur einem Tool,https://www.udemy.com/course/funnelcockpit/?couponCode=C69405AC4D87530DA4A8,3.25,2,Deutsch,3 total Stunden,Marketing,Digitales Marketing,,0 days 09:00:00.000000000,{'Daniel Keller'}
83,Lebenslauf schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/lebenslauf-war-gestern-der-erfolgreiche-bewerbungsratgeber/?couponCode=STAYATHOME,4.72222,9,Deutsch,41 Min. gesamt,Persönliche Entwicklung,Karriereentwicklung,,1 days 11:00:00.000000000,{'Susanne Knaller'}
86,Statistics with R - Beginner Level,https://www.udemy.com/course/statistics-with-r-beginner-level/?couponCode=RSTATSQUICK3D,4.26042,945,English,3 total Stunden,Business,Daten & Analyse,,1 days 02:00:00.000000000,{'Bogdan Anastasiei'}
58,Profitable Forex with Risk Control,https://www.udemy.com/course/profitable-forex-with-risk-control/?couponCode=FACEBOOK,3.2,134,English,"1,5 total Stunden",Business,Finanzen,,1 days 22:00:00.000000000,{'Juri Fab'}
31,GET on TOP of Real Estate Business with Facebook Ads in 2020,https://www.udemy.com/course/facebook-ads-for-real-estate-business/?couponCode=SKILLSFORFUTURE,4.20833,15,English,23 total Stunden,Business,Immobilien,,1 days 05:00:00.000000000,"{'SEO, Facebook Ads & Digital Marketing Academy', 'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert'}"
29,Become a Professional Receptionist,https://www.udemy.com/course/become-a-professional-receptionist/?couponCode=MAR2020,3.76471,19,English,6 total Stunden,Business,Kommunikation,,1 days 04:00:00.000000000,{'Global Corporate Academy'}
1,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=220320_FREE,4.2069,2731,English,2 total Stunden,Business,Management,,2 days 02:00:00.000000000,{'Paul Ashun'}
27,Dropshipping with Wordpress: Create a Dropship Business Fast,https://www.udemy.com/course/dropshipping-with-wordpress/?couponCode=MARCH25DROPSHIPPING,4.15,59,English,"2,5 total Stunden",Business,Selbstständigkeit,,2 days 16:00:00.000000000,"{'MindQuest Academy', 'Scott Alex', 'Scott Paton'}"
17,How To Start and Grow A Successful Clothing Brand Business,https://www.udemy.com/course/start-a-clothing-brand/?couponCode=MARCHFREEBIE,4.375,13,English,"2,5 total Stunden",Business,Unternehmensgründung,,1 days 08:00:00.000000000,{'Toby Cannon'}
32,COACHING MASTERY - Build a Profitable Coaching Business,https://www.udemy.com/course/coaching-business/?couponCode=MARCH25MASTERY,3.3,14,English,3 total Stunden,Business,Unternehmensgründung,,2 days 16:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Ricky Shetty'}"
79,Dropshipping Amazon To Ebay Easiest Way To Make Money Online,https://www.udemy.com/course/dropshipping-amazon-to-ebay-easiest-way-to-make-money-2019/?couponCode=CORONAVIRUS2,3.17647,23,English,2 total Stunden,Business,Verkauf/Vertrieb,,0 days 04:00:00.000000000,{'El Hamim Abderrahmane'}
