,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
18,E-Mails schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/e-mails-schreiben-leicht-gemacht/?couponCode=STAYATHOME,4.3,14,Deutsch,1 total Stunde,Business,Kommunikation,,0 days 09:00:00.000000000,{'Susanne Knaller'}
42,Onboarding neuer Mitarbeiter - inkl. Shortbook,https://www.udemy.com/course/onboarding-neuer-mitarbeiter/?couponCode=STAYATHOME,3.625,4,Deutsch,1 total Stunde,Business,Management,,0 days 09:00:00.000000000,{'Susanne Knaller'}
64,Dauerhafter Erfolg als Führungskraft - inkl. Shortbook,https://www.udemy.com/course/dauerhafter-erfolg-als-fuehrungskraft/?couponCode=STAYATHOME,4.0,19,Deutsch,35 Min. gesamt,Business,Management,,0 days 08:00:00.000000000,{'Susanne Knaller'}
79,Erfolgreiches Diversity Management - inkl. Shortbook,https://www.udemy.com/course/erfolgreiches-diversity-management-inkl-shortbook/?couponCode=STAYATHOME,4.16667,3,Deutsch,41 Min. gesamt,Business,Management,,0 days 09:00:00.000000000,{'Susanne Knaller'}
76,Lebenslauf schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/lebenslauf-war-gestern-der-erfolgreiche-bewerbungsratgeber/?couponCode=STAYATHOME,4.72222,9,Deutsch,41 Min. gesamt,Persönliche Entwicklung,Karriereentwicklung,,0 days 09:00:00.000000000,{'Susanne Knaller'}
28,Microsoft Power BI: Latest 2020 Beginner to Expert Modules,https://www.udemy.com/course/microsoft-power-bi-latest-2020-beginner-to-expert-modules/?couponCode=FREE1188,4.10417,29,English,"3,5 total Stunden",Business,Daten & Analyse,,0 days 02:00:00.000000000,{'Henry Harvin Education'}
43,Profitable Forex with Risk Control,https://www.udemy.com/course/profitable-forex-with-risk-control/?couponCode=FACEBOOK,4.35714,140,English,"1,5 total Stunden",Business,Finanzen,,0 days 20:00:00.000000000,{'Juri Fab'}
24,GET on TOP of Real Estate Business with Facebook Ads in 2020,https://www.udemy.com/course/facebook-ads-for-real-estate-business/?couponCode=SKILLSFORFUTURE,4.15385,15,English,23 total Stunden,Business,Immobilien,,0 days 02:00:00.000000000,"{'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert', 'SEO, Facebook Ads & Digital Marketing Academy'}"
33,Become a Professional Receptionist,https://www.udemy.com/course/become-a-professional-receptionist/?couponCode=MAR2020,3.71053,20,English,6 total Stunden,Business,Kommunikation,,0 days 02:00:00.000000000,{'Global Corporate Academy'}
55,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=220320_FREE,4.19198,2739,English,2 total Stunden,Business,Management,,1 days 00:00:00.000000000,{'Paul Ashun'}
7,AMAZON MASTERY - How To Become An Amazon Best Selling Author,https://www.udemy.com/course/amazon-best-selling-authors/?couponCode=MARCH26AMAZON,4.0,42,English,"2,5 total Stunden",Business,Medien,,2 days 15:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Ricky Shetty'}"
1,Dropshipping with Wordpress: Create a Dropship Business Fast,https://www.udemy.com/course/dropshipping-with-wordpress/?couponCode=MARCH25DROPSHIPPING,4.15,61,English,"2,5 total Stunden",Business,Selbstständigkeit,,1 days 14:00:00.000000000,"{'MindQuest Academy', 'Scott Paton', 'Scott Alex'}"
32,Entrepreneurship Fundamentals,https://www.udemy.com/course/entrepreneurship-fundamentals/?couponCode=FREEMARCH2,3.92857,10,English,2 total Stunden,Business,Unternehmensgründung,,2 days 02:00:00.000000000,{'mProve Solutions'}
40,How to Upload Content to Amazon Prime Video Direct,https://www.udemy.com/course/how-to-upload-content-to-amazon-prime-video-direct/?couponCode=92A1E2FC7D5D3C2ECC4C,4.45,12,English,1 total Stunde,Business,Unternehmensgründung,,1 days 06:00:00.000000000,{'Bryan Guerra'}
66,How To Start and Grow A Successful Clothing Brand Business,https://www.udemy.com/course/start-a-clothing-brand/?couponCode=MARCHFREEBIE,4.42857,14,English,"2,5 total Stunden",Business,Unternehmensgründung,,0 days 06:00:00.000000000,{'Toby Cannon'}
82,COACHING MASTERY - Build a Profitable Coaching Business,https://www.udemy.com/course/coaching-business/?couponCode=MARCH25MASTERY,3.3,14,English,3 total Stunden,Business,Unternehmensgründung,,1 days 14:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Ricky Shetty'}"
5,Learn Cinema 4D: Low Poly Wolf,https://www.udemy.com/course/low-poly-art-create-an-abstract-wolf/?couponCode=13955A65EB2C9E6A3F8B,4.2,69,English,1 total Stunde,Design,3D & Animation,,1 days 22:00:00.000000000,{'Jonathan Lam'}
10,Photoshop CC: 20 Common Productivity and Design Mistakes,https://www.udemy.com/course/graphic-designers-photoshop-cc/?couponCode=MARCH25PHOTOSHOP,4.10714,65,English,"1,5 total Stunden",Design,Grafikdesign,,1 days 14:00:00.000000000,"{'Scott Paton', 'Nathan Segal', 'Scott Alex'}"
36,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=MARCHLW2020,3.80263,47,English,1 total Stunde,Finanzen & Rechnungswesen,Investition & Trading,,1 days 05:00:00.000000000,{'Alex Rodolitz'}
51,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=5968C665DF4E5504D0BF,4.28274,342,English,8 total Stunden,Fotografie,Fotografietools,,1 days 14:00:00.000000000,{'YouAccel Training'}
