,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
60,Learn Firefox,https://www.udemy.com/course/learn-firefox/?couponCode=TRY75FREE,3.7,36,Englisch,36.0,Programmierung,Programmierungstools,Web-Content
12,The Complete 2020 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/?couponCode=TESTATHONCELEBRATION,4.4,511,Englisch,7.5,Programmierung,Software-Testing,Software-Testing
15,ISTQB Foundation Level 2018 syllabus Exams,https://www.udemy.com/course/istqb-foundation-level-2018-syllabus-exams/?couponCode=TESTATHONCELEBRATION,4.5,768,Englisch,6.0,Programmierung,Software-Testing,ISTQB Certified Tester Foundation Level (CTFL)
24,ISTQB Agile Tester Sample Exams,https://www.udemy.com/course/istqb-agile-tester-sample-exams/?couponCode=TESTATHONCELEBRATION,4.0,116,Englisch,6.0,Programmierung,Software-Testing,ISTQB Agile Tester Foundation Extension (CTFL-AT)
39,Software Test Design Techniques| Black Box & White Box,https://www.udemy.com/course/test-techniques/?couponCode=TESTATHONCELEBRATION,4.4,66,Englisch,3.5,Programmierung,Software-Testing,Software-Testing
69,Mobile App Testing | Practical + Certified Mob. Tester,https://www.udemy.com/course/certified-mobile-tester/?couponCode=TESTATHONCELEBRATION,3.8,10,Englisch,3.0,Programmierung,Software-Testing,Mobile Testing
3,Excel VLOOKUP for beginners,https://www.udemy.com/course/excel-vlookup-for-beginners/?couponCode=VLOOKUP_2,3.9,32,Englisch,1.0,Programmierung,Sonstiges,Vlookup
4,Learn Basic Photoshop,https://www.udemy.com/course/learn-basic-photoshop/?couponCode=TRY75FREE,3.7,198,Englisch,1.5,Programmierung,Sonstiges,Photoshop
35,Learn Basic InDesign,https://www.udemy.com/course/learn-basic-indesign/?couponCode=TRY75FREE,3.8,51,Englisch,1.0,Programmierung,Sonstiges,InDesign
57,AutoCAD 2020 and Artificial Intelligence Tools: Part 1,https://www.udemy.com/course/autocad-2020-and-artificial-intelligence-tools-part-1/?couponCode=41BD052F364928C46CE7,3.5,46,Englisch,1.0,Programmierung,Sonstiges,AutoCAD
77,Learn Basic Illustrator,https://www.udemy.com/course/learn-basic-illustrator/?couponCode=TRY75FREE,3.7,185,Englisch,37.0,Programmierung,Sonstiges,Adobe Illustrator
9,Learn CSS - For Beginners,https://www.udemy.com/course/learn-css-for-beginners/?couponCode=8B3AD4E0802FB108F065,3.9,68,Englisch,2.0,Programmierung,Webentwicklung,CSS
16,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/?couponCode=F14C30F55BA27BCDA299,4.4,494,Englisch,20.5,Programmierung,Webentwicklung,Webentwicklung
68,Learn HTML - For Beginners,https://www.udemy.com/course/learn-html-for-beginners/?couponCode=B8973A41DA8D3ACDA7E3,4.1,95,Englisch,2.5,Programmierung,Webentwicklung,HTML
46,Learn Opera,https://www.udemy.com/course/learn-opera/?couponCode=TRY75FREE,4.1,23,Italienisch,34.0,Programmierung,Programmierungstools,Entwickler-Tools
42,★Adobe Photoshop CC para Principiantes✔️Básico hasta EXPERTO,https://www.udemy.com/course/photoshopccdominaeldisenodigital/?couponCode=0FCC6561C513101AE957,3.9,304,Spanisch,8.0,Design,Grafikdesign,Photoshop
