,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
43,Python - In 4 Stunden vom Anfänger zum Profi,https://www.udemy.com/course/python-vom-anfanger-zum-profi-der-all-inclusive-kurs/?couponCode=FREEPYTHON0,4.1,38,Deutsch,4.0,Programmierung,Programmiersprachen,Python
33,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=160220_FREE,4.2,2658,Englisch,1.5,Business,Management,Scrum
49,Job Interview Success - Getting Your Dream Job,https://www.udemy.com/course/winning-job-interviews/?couponCode=9EE06F918FB8E499D470,4.1,43,Englisch,1.0,Business,Personalwesen,Einstellungsgespräch
37,Work From Home: The Amazon FBA MasterPlan,https://www.udemy.com/course/online-business-selling-simple-products-amazon/?couponCode=WFHTAFMFEBFREE,4.4,2144,Englisch,2.5,Business,Selbstständigkeit,Amazon FBA
8,Increase sales through testimonials,https://www.udemy.com/course/testimonial-secrets/?couponCode=1ADE30F72CF19BF7BF7E,3.9,18,Englisch,1.0,Business,Verkauf/Vertrieb,Unternehmensgründung (Grundlagen)
36,Hidden Secrets Of Selling - Part 1,https://www.udemy.com/course/secrets-of-selling-marketing-1/?couponCode=3D7B3E72F2CCAF5C7683,4.3,19,Englisch,2.5,Business,Verkauf/Vertrieb,Verkaufs-Skills
58,Blender 2.8 Beginners Guide To 3D Modeling A Sci-fi Scene,https://www.udemy.com/course/blender-28-beginners-guide-to-3d-modeling-a-sci-fi-scene/?couponCode=3DTUDORBLENDER28,4.4,16,Englisch,18.0,Design,3D & Animation,3D-Modelle
61,CorelDraw Course For Laser Cutting in 1 hour,https://www.udemy.com/course/coreldraw-course-for-laser-cutting-in-55-minutes/?couponCode=WINTERPROMO,3.3,16,Englisch,1.0,Design,Grafikdesign,CorelDRAW
52,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=E60B159FF3734FE211E8,4.3,226,Englisch,8.0,Fotografie,Fotografietools,Adobe Lightroom
44,A to Z Ethical Hacking Course,https://www.udemy.com/course/a-to-z-ethical-hacking-course/?couponCode=1_LAKH_FREE,3.4,243,Englisch,7.5,IT & Software,Netzwerk & Sicherheit,Ethical Hacking
79,CompTIA Cybersecurity Analyst CySA+ (CSA+): Practice Exam,https://www.udemy.com/course/comptia-cybersecurity-analyst-cysa-csa-practice-exam/?couponCode=FREECYSAPLUS,3.9,9,Englisch,3.0,IT & Software,Netzwerk & Sicherheit,CompTIA CySA+
56,First Steps in Market Research,https://www.udemy.com/course/first-steps-in-market-research/?couponCode=FEB2020,3.8,32,Englisch,1.5,Marketing,Marketinggrundlagen,Marktforschung
2,Podcast with Passion and Inspiration,https://www.udemy.com/course/learn-to-podcast-with-passion/?couponCode=DEEFA641976BAD96E326,4.5,40,Englisch,1.5,Marketing,Social-Media-Marketing,Podcasts
21,"Become a Graphic Designer with Canva, Pinterest & Instagram",https://www.udemy.com/course/visual-content-marketing-with-pinterest-instagram/?couponCode=FEB2020,4.0,20,Englisch,5.0,Marketing,Social-Media-Marketing,Pinterest-Marketing
29,Make Money Writing: Your Ultimate Guide to Earn as a Writer,https://www.udemy.com/course/make-money-writing-your-ultimate-guide-to-earn-as-a-writer/?couponCode=B39E875569429B33C94F,3.8,11,Englisch,1.0,Marketing,Sonstiges,Buch-Marketing
66,Fire Up Your Website’s Traffic: A Beginner's Guide On SEO,https://www.udemy.com/course/fire-up-your-website-traffic/?couponCode=EB67227396E4FE4B5CDA,3.7,34,Englisch,36.0,Marketing,Suchmaschinenoptimierung,SEO
5,30 Days To A Better Singing Voice,https://www.udemy.com/course/30-day-course/?couponCode=D84EA1688D5342EFB881,4.8,13,Englisch,2.5,Musik,Gesang,Singen
13,8D Audio Conversion: Convert Any Music Track To 8D,https://www.udemy.com/course/8d-audio-conversion-convert-any-music-track-to-8d/?couponCode=E8641708596EC17175B9,3.5,42,Englisch,38.0,Musik,Musiksoftware,Musikproduktion
23,Learn Google Forms,https://www.udemy.com/course/learn-google-forms/?couponCode=TRY12FREE,3.7,37,Englisch,1.0,Office-Produktivität,Google,Google Formulare
31,"Advancing Business English: Grammar, Meetings and More",https://www.udemy.com/course/advancing-business-english-grammar-meetings-and-more/?couponCode=CF00610E8A62FC108902,4.5,16,Englisch,1.5,Persönliche Entwicklung,Karriereentwicklung,Business-Englisch
47,Mastering Interview Skills in 1 Hour with Fortune 500 Exec,https://www.udemy.com/course/mastering-interview-skills-in-1-hour/?couponCode=6833E55983DFA31E1DF4,4.4,318,Englisch,1.0,Persönliche Entwicklung,Karriereentwicklung,Einstellungsgespräch
6,Hidden Psychology Secrets Course: Why We Do The Things We Do,https://www.udemy.com/course/the-ultimate-psychology-course-why-we-do-the-things-we-do/?couponCode=FREECOUPON,4.5,99,Englisch,6.0,Persönliche Entwicklung,Persönliche Veränderung,Psychologie
17,Remove Your Mental Financial Success Blocks With EFT Tapping,https://www.udemy.com/course/remove-your-mental-financial-success-blocks-with-eft/?couponCode=F0D3D0E3E2CC2AB7CA5C,4.1,86,Englisch,1.5,Persönliche Entwicklung,Persönliche Veränderung,EFT
81,Speed Reading Simplified,https://www.udemy.com/course/speed-reading-fast/?couponCode=F46C9DA2206A1C417675,4.1,222,Englisch,1.0,Persönliche Entwicklung,Produktivität,Schnelllesen
71,Dealing With Difficult People - The ULTIMATE Course,https://www.udemy.com/course/dealing-with-difficult-people-work-life/?couponCode=FREECOUPON,3.6,85,Englisch,1.5,Persönliche Entwicklung,Stressbewältigung,Kommunikationsfähigkeiten
7,Python For Network Engineers Bootcamp,https://www.udemy.com/course/python-for-network-engineers-bootcamp/?couponCode=FEVRIER2020,3.8,26,Englisch,19.0,Programmierung,Programmiersprachen,Python
10,Python Programming Beginners Tutorial : Python 3 Programming,https://www.udemy.com/course/a-laymans-guide-to-python/?couponCode=PYTHON_FEB,4.1,177,Englisch,13.5,Programmierung,Programmiersprachen,Python
